"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ACOBAMBA (000)",15410,13743,906,306,455
"Empleado (001)",1302,380,310,230,382
"Obrero (002)",1638,1367,158,49,64
"Trabajador independiente (003)",7649,7460,189,,
"Empleador o patrono (004)",111,95,10,2,4
"Trabajador familiar no remunerado (005)",4632,4363,239,25,5
"Trabajador del hogar (006)",78,78,,,
"De 06 a 14 años (008)",262,224,38,,
"Empleado (009)",6,6,,,
"Obrero (010)",10,8,2,,
"Trabajador independiente (011)",24,22,2,,
"Trabajador familiar no remunerado (013)",215,181,34,,
"Trabajador del hogar (014)",7,7,,,
"De 15 a 29 años (016)",5296,4710,325,80,181
"Empleado (017)",447,155,82,58,152
"Obrero (018)",608,505,64,15,24
"Trabajador independiente (019)",2168,2100,68,,
"Empleador o patrono (020)",34,27,3,,4
"Trabajador familiar no remunerado (021)",1994,1878,108,7,1
"Trabajador del hogar (022)",45,45,,,
"De 30 a 44 años (024)",5172,4477,351,148,196
"Empleado (025)",604,155,167,115,167
"Obrero (026)",549,445,56,21,27
"Trabajador independiente (027)",2660,2593,67,,
"Empleador o patrono (028)",28,22,5,1,
"Trabajador familiar no remunerado (029)",1313,1244,56,11,2
"Trabajador del hogar (030)",18,18,,,
"De 45 a 64 años (032)",3621,3302,173,73,73
"Empleado (033)",228,55,57,56,60
"Obrero (034)",401,342,35,12,12
"Trabajador independiente (035)",2060,2015,45,,
"Empleador o patrono (036)",32,29,2,1,
"Trabajador familiar no remunerado (037)",893,854,34,4,1
"Trabajador del hogar (038)",7,7,,,
"De 65 y más años (040)",1059,1030,19,5,5
"Empleado (041)",17,9,4,1,3
"Obrero (042)",70,67,1,1,1
"Trabajador independiente (043)",737,730,7,,
"Empleador o patrono (044)",17,17,,,
"Trabajador familiar no remunerado (045)",217,206,7,3,1
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",4951,3974,406,242,329
"Empleado (049)",982,256,225,210,291
"Obrero (050)",687,534,89,28,36
"Trabajador independiente (051)",2443,2377,66,,
"Empleador o patrono (052)",57,51,4,1,1
"Trabajador familiar no remunerado (053)",732,706,22,3,1
"Trabajador del hogar (054)",50,50,,,
"De 06 a 14 años (056)",82,78,4,,
"Empleado (057)",3,3,,,
