"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia EL DORADO (000)",33638,14002,2467,698,16557
"Menos de 1 año (001)",836,593,64,3,177
"De 1 a 14 años (002)",12225,7717,883,115,3537
"De 15 a 29 años (003)",8922,2750,532,192,5466
"De 30 a 44 años (004)",6211,1516,614,185,3919
"De 45 a 64 años (005)",4055,1063,313,161,2531
"De 65 y mas años (006)",1389,363,61,42,927
"Hombres (008)",17914,7031,1286,371,9277
"Menos de 1 año (009)",405,297,24,2,83
"De 1 a 14 años (010)",6293,3948,477,64,1813
"De 15 a 29 años (011)",4802,1277,241,99,3194
"De 30 a 44 años (012)",3453,765,314,92,2301
"De 45 a 64 años (013)",2237,555,194,92,1407
"De 65 y mas años (014)",724,189,36,22,479
"Mujeres (016)",15724,6971,1181,327,7280
"Menos de 1 año (017)",431,296,40,1,94
"De 1 a 14 años (018)",5932,3769,406,51,1724
"De 15 a 29 años (019)",4120,1473,291,93,2272
"De 30 a 44 años (020)",2758,751,300,93,1618
"De 45 a 64 años (021)",1818,508,119,69,1124
"De 65 y mas años (022)",665,174,25,20,448
,,,,,
"URBANA (024)",13087,5237,1623,340,5957
"Menos de 1 año (025)",272,192,41,2,38
"De 1 a 14 años (026)",4420,2715,557,69,1101
"De 15 a 29 años (027)",3326,1092,322,81,1846
"De 30 a 44 años (028)",2631,603,440,93,1514
"De 45 a 64 años (029)",1797,472,226,70,1039
"De 65 y mas años (030)",641,163,37,25,419
"Hombres (032)",6776,2580,841,189,3205
"Menos de 1 año (033)",126,94,15,2,16
"De 1 a 14 años (034)",2244,1365,304,39,542
"De 15 a 29 años (035)",1711,498,137,43,1040
"De 30 a 44 años (036)",1389,304,219,45,837
"De 45 a 64 años (037)",992,238,143,45,574
"De 65 y mas años (038)",314,81,23,15,196
"Mujeres (040)",6311,2657,782,151,2752
"Menos de 1 año (041)",146,98,26,,22
"De 1 a 14 años (042)",2176,1350,253,30,559
"De 15 a 29 años (043)",1615,594,185,38,806
"De 30 a 44 años (044)",1242,299,221,48,677
"De 45 a 64 años (045)",805,234,83,25,465
"De 65 y mas años (046)",327,82,14,10,223
,,,,,
"RURAL (048)",20551,8765,844,358,10600
"Menos de 1 año (049)",564,401,23,1,139
"De 1 a 14 años (050)",7805,5002,326,46,2436
"De 15 a 29 años (051)",5596,1658,210,111,3620
"De 30 a 44 años (052)",3580,913,174,92,2405
"De 45 a 64 años (053)",2258,591,87,91,1492
"De 65 y mas años (054)",748,200,24,17,508
"Hombres (056)",11138,4451,445,182,6072
"Menos de 1 año (057)",279,203,9,,67
"De 1 a 14 años (058)",4049,2583,173,25,1271
"De 15 a 29 años (059)",3091,779,104,56,2154
"De 30 a 44 años (060)",2064,461,95,47,1464
"De 45 a 64 años (061)",1245,317,51,47,833
"De 65 y mas años (062)",410,108,13,7,283
"Mujeres (064)",9413,4314,399,176,4528
"Menos de 1 año (065)",285,198,14,1,72
"De 1 a 14 años (066)",3756,2419,153,21,1165
"De 15 a 29 años (067)",2505,879,106,55,1466
"De 30 a 44 años (068)",1516,452,79,45,941
"De 45 a 64 años (069)",1013,274,36,44,659
"De 65 y mas años (070)",338,92,11,10,225
