"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CAJATAMBO (000)",8145,132,2711,1515,1458,1333,996
"Casa independiente (001)",7441,115,2457,1378,1333,1236,922
"Departamento en edificio (002)",5,,1,2,,2,
"Vivienda en quinta (003)",32,1,10,7,6,1,7
"Vivienda en casa de vecindad (004)",201,3,75,38,43,21,21
"Choza o cabaña (005)",441,13,161,85,68,70,44
"Vivienda improvisada (006)",1,,,,1,,
"Local no destinado para hab.humana (007)",24,,7,5,7,3,2
,,,,,,,
"URBANA (009)",4977,77,1622,925,899,822,632
"Casa independiente (010)",4718,73,1529,874,844,796,602
"Departamento en edificio (011)",5,,1,2,,2,
"Vivienda en quinta (012)",32,1,10,7,6,1,7
"Vivienda en casa de vecindad (013)",201,3,75,38,43,21,21
"Vivienda improvisada (015)",1,,,,1,,
"Local no destinado para hab.humana (016)",20,,7,4,5,2,2
,,,,,,,
"RURAL (018)",3168,55,1089,590,559,511,364
"Casa independiente (019)",2723,42,928,504,489,440,320
"Choza o cabaña (023)",441,13,161,85,68,70,44
"Local no destinado para hab.humana (025)",4,,,1,2,1,
