"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MORROPON (000)",140818,29833,11740,4027,95347
"Hombres (001)",71395,14199,5881,2259,49149
"Mujeres (002)",69423,15634,5859,1768,46198
"PEA (003)",51202,5404,4709,1816,39356
"Hombres (004)",40053,4029,2952,1304,31836
"Mujeres (005)",11149,1375,1757,512,7520
"Ocupada (006)",47136,4965,4579,1736,35938
"Hombres (007)",36566,3664,2849,1237,28883
"Mujeres (008)",10570,1301,1730,499,7055
"Desocupada (009)",4066,439,130,80,3418
"Hombres (010)",3487,365,103,67,2953
"Mujeres (011)",579,74,27,13,465
"No PEA (012)",89616,24429,7031,2211,55991
"Hombres (013)",31342,10170,2929,955,17313
"Mujeres (014)",58274,14259,4102,1256,38678
,,,,,
"URBANA (018)",81700,16141,9650,3377,52642
"Hombres (019)",40789,7589,4766,1877,26638
"Mujeres (020)",40911,8552,4884,1500,26004
"PEA (021)",31280,3640,4070,1581,22064
"Hombres (022)",22740,2603,2504,1102,16591
"Mujeres (023)",8540,1037,1566,479,5473
"Ocupada (024)",28918,3353,3947,1514,20178
"Hombres (025)",20800,2370,2408,1048,15033
"Mujeres (026)",8118,983,1539,466,5145
"Desocupada (027)",2362,287,123,67,1886
"Hombres (028)",1940,233,96,54,1558
"Mujeres (029)",422,54,27,13,328
"No PEA (030)",50420,12501,5580,1796,30578
"Hombres (031)",18049,4986,2262,775,10047
"Mujeres (032)",32371,7515,3318,1021,20531
,,,,,
"RURAL (036)",59118,13692,2090,650,42705
"Hombres (037)",30606,6610,1115,382,22511
"Mujeres (038)",28512,7082,975,268,20194
"PEA (039)",19922,1764,639,235,17292
"Hombres (040)",17313,1426,448,202,15245
"Mujeres (041)",2609,338,191,33,2047
"Ocupada (042)",18218,1612,632,222,15760
"Hombres (043)",15766,1294,441,189,13850
"Mujeres (044)",2452,318,191,33,1910
"Desocupada (045)",1704,152,7,13,1532
"Hombres (046)",1547,132,7,13,1395
"Mujeres (047)",157,20,,,137
"No PEA (048)",39196,11928,1451,415,25413
"Hombres (049)",13293,5184,667,180,7266
"Mujeres (050)",25903,6744,784,235,18147
