"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TOCACHE (000)",29486,23014,1578,1284,3610
"Agric., ganadería, caza y silvicultura (001)",17168,15354,637,192,985
"Pesca (002)",16,16,,,
"Explotación de minas y canteras (003)",9,6,,1,2
"Industrias manufactureras (004)",1149,635,108,57,349
"Suministro de electricidad, gas y agua (005)",37,10,4,19,4
"Construcción (006)",779,464,161,73,81
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2719,2589,101,18,11
"Venta, mant.y rep. veh.autom y motoc. (008)",376,347,12,7,10
"Comercio al por mayor (009)",138,128,8,1,1
"Comercio al por menor (010)",2205,2114,81,10,
"Hoteles y restaurantes (011)",978,896,58,13,11
"Trans., almac. y comunicaciones (012)",1222,1006,100,74,42
"Intermediación financiera (013)",42,12,12,13,5
"Activid.inmobil., empres. y alquileres (014)",432,210,45,122,55
"Admin.pub. y defensa; p. segur soc.afil (015)",1326,,,,1326
"Enseñanza (016)",1316,271,245,569,231
"Servicios sociales y de salud (017)",284,89,11,13,171
"Otras activ. serv.comun.soc y personales (018)",642,265,41,45,291
"Hogares privados con servicio doméstico (019)",635,635,,,
"Actividad economica no especificada (021)",732,556,55,75,46
"Hombres (022)",23032,17685,1221,931,3195
"Agric., ganadería, caza y silvicultura (023)",15276,13560,555,186,975
"Pesca (024)",16,16,,,
"Explotación de minas y canteras (025)",9,6,,1,2
"Industrias manufactureras (026)",973,509,102,38,324
"Suministro de electricidad, gas y agua (027)",32,9,3,18,2
"Construcción (028)",760,450,159,71,80
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1443,1341,74,17,11
"Venta, mant.y rep. veh.autom y motoc. (030)",342,313,12,7,10
"Comercio al por mayor (031)",76,69,5,1,1
"Comercio al por menor (032)",1025,959,57,9,
"Hoteles y restaurantes (033)",198,174,18,3,3
"Trans., almac. y comunicaciones (034)",1161,958,90,71,42
"Intermediación financiera (035)",34,11,9,10,4
"Activid.inmobil., empres. y alquileres (036)",348,160,38,105,45
"Admin.pub. y defensa; p. segur soc.afil (037)",1189,,,,1189
"Enseñanza (038)",677,124,117,321,115
"Servicios sociales y de salud (039)",139,50,5,5,79
"Otras activ. serv.comun.soc y personales (040)",470,117,30,34,289
"Hogares privados con servicio doméstico (041)",32,32,,,
