"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia TARMA (000)",86325,13073,15796,15972,14515,10693,16276
"Católica (001)",74098,11290,13553,13726,12495,9152,13882
"Cristiana/Evangélica (002)",9883,1458,1771,1766,1636,1273,1979
"Otra (003)",1593,208,261,313,277,203,331
"Ninguna (004)",751,117,211,167,107,65,84
"Hombres (006)",42028,6569,7825,7672,6927,5192,7843
"Católica (007)",36262,5712,6780,6601,5957,4484,6728
"Cristiana/Evangélica (008)",4529,689,794,807,763,564,912
"Otra (009)",784,112,122,158,134,108,150
"Ninguna (010)",453,56,129,106,73,36,53
"Mujeres (012)",44297,6504,7971,8300,7588,5501,8433
"Católica (013)",37836,5578,6773,7125,6538,4668,7154
"Cristiana/Evangélica (014)",5354,769,977,959,873,709,1067
"Otra (015)",809,96,139,155,143,95,181
"Ninguna (016)",298,61,82,61,34,29,31
,,,,,,,
"URBANA (018)",56383,8361,10076,10661,9807,7066,10412
"Católica (019)",48075,7154,8501,9088,8410,6040,8882
"Cristiana/Evangélica (020)",6515,970,1192,1196,1092,825,1240
"Otra (021)",1177,145,204,239,210,153,226
"Ninguna (022)",616,92,179,138,95,48,64
"Hombres (024)",27046,4227,4855,5012,4592,3411,4949
"Católica (025)",23145,3650,4119,4263,3922,2946,4245
"Cristiana/Evangélica (026)",2955,453,529,545,503,356,569
"Otra (027)",571,78,95,118,101,82,97
"Ninguna (028)",375,46,112,86,66,27,38
"Mujeres (030)",29337,4134,5221,5649,5215,3655,5463
"Católica (031)",24930,3504,4382,4825,4488,3094,4637
"Cristiana/Evangélica (032)",3560,517,663,651,589,469,671
"Otra (033)",606,67,109,121,109,71,129
"Ninguna (034)",241,46,67,52,29,21,26
,,,,,,,
"RURAL (036)",29942,4712,5720,5311,4708,3627,5864
"Católica (037)",26023,4136,5052,4638,4085,3112,5000
"Cristiana/Evangélica (038)",3368,488,579,570,544,448,739
"Otra (039)",416,63,57,74,67,50,105
"Ninguna (040)",135,25,32,29,12,17,20
"Hombres (042)",14982,2342,2970,2660,2335,1781,2894
"Católica (043)",13117,2062,2661,2338,2035,1538,2483
"Cristiana/Evangélica (044)",1574,236,265,262,260,208,343
"Otra (045)",213,34,27,40,33,26,53
"Ninguna (046)",78,10,17,20,7,9,15
"Mujeres (048)",14960,2370,2750,2651,2373,1846,2970
"Católica (049)",12906,2074,2391,2300,2050,1574,2517
"Cristiana/Evangélica (050)",1794,252,314,308,284,240,396
"Otra (051)",203,29,30,34,34,24,52
"Ninguna (052)",57,15,15,9,5,8,5
