"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia RIOJA (000)",980,60,518,239,132,31
"Sin nivel (001)",51,3,13,19,8,8
"Primaria (003)",478,39,189,132,97,21
"Secundaria (004)",344,18,239,68,18,1
"Superior no univ. incompleta (005)",21,,13,4,3,1
"Superior no univ. completa (006)",34,,23,8,3,
"Superior univ. incompleta (007)",16,,12,2,2,
"Superior univ. completa (008)",36,,29,6,1,
"Hombres (010)",708,40,357,178,106,27
"Sin nivel (011)",39,2,9,16,6,6
"Primaria (013)",357,25,137,101,75,19
"Secundaria (014)",255,13,173,50,18,1
"Superior no univ. incompleta (015)",13,,9,1,2,1
"Superior no univ. completa (016)",15,,9,4,2,
"Superior univ. incompleta (017)",10,,7,1,2,
"Superior univ. completa (018)",19,,13,5,1,
"Mujeres (020)",272,20,161,61,26,4
"Sin nivel (021)",12,1,4,3,2,2
"Primaria (023)",121,14,52,31,22,2
"Secundaria (024)",89,5,66,18,,
"Superior no univ. incompleta (025)",8,,4,3,1,
"Superior no univ. completa (026)",19,,14,4,1,
"Superior univ. incompleta (027)",6,,5,1,,
"Superior univ. completa (028)",17,,16,1,,
,,,,,,
"Area Urbana (030)",843,45,438,208,124,28
"Sin nivel (031)",37,1,5,17,6,8
"Primaria (033)",390,29,139,113,91,18
"Secundaria (034)",312,15,219,59,18,1
"Superior no univ. incompleta (035)",21,,13,4,3,1
"Superior no univ. completa (036)",33,,23,7,3,
"Superior univ. incompleta (037)",15,,11,2,2,
"Superior univ. completa (038)",35,,28,6,1,
"Hombres (040)",595,29,289,154,99,24
"Sin nivel (041)",28,1,3,14,4,6
"Primaria (043)",286,17,95,88,70,16
"Secundaria (044)",227,11,155,42,18,1
"Superior no univ. incompleta (045)",13,,9,1,2,1
"Superior no univ. completa (046)",14,,9,3,2,
"Superior univ. incompleta (047)",9,,6,1,2,
"Superior univ. completa (048)",18,,12,5,1,
"Mujeres (050)",248,16,149,54,25,4
"Sin nivel (051)",9,,2,3,2,2
"Primaria (053)",104,12,44,25,21,2
"Secundaria (054)",85,4,64,17,,
"Superior no univ. incompleta (055)",8,,4,3,1,
"Superior no univ. completa (056)",19,,14,4,1,
"Superior univ. incompleta (057)",6,,5,1,,
"Superior univ. completa (058)",17,,16,1,,
,,,,,,
"Area Rural (060)",137,15,80,31,8,3
"Sin nivel (061)",14,2,8,2,2,
"Primaria (063)",88,10,50,19,6,3
"Secundaria (064)",32,3,20,9,,
"Superior no univ. completa (066)",1,,,1,,
"Superior univ. incompleta (067)",1,,1,,,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",113,11,68,24,7,3
"Sin nivel (071)",11,1,6,2,2,
"Primaria (073)",71,8,42,13,5,3
"Secundaria (074)",28,2,18,8,,
"Superior no univ. completa (076)",1,,,1,,
"Superior univ. incompleta (077)",1,,1,,,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",24,4,12,7,1,
"Sin nivel (081)",3,1,2,,,
"Primaria (083)",17,2,8,6,1,
"Secundaria (084)",4,1,2,1,,
