"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SANTIAGO DE CHUCO (000)",56089,1423,20777,13350,9480,7023,4036
"Casa independiente (001)",53960,1360,19898,12840,9084,6807,3971
"Departamento en edificio (002)",395,5,135,108,95,50,2
"Vivienda en quinta (003)",34,1,11,8,8,1,5
"Vivienda en casa de vecindad (004)",387,15,144,99,89,32,8
"Choza o cabaña (005)",1268,42,567,284,193,132,50
"Vivienda improvisada (006)",26,,16,3,6,1,
"Local no destinado para hab.humana (007)",19,,6,8,5,,
,,,,,,,
"URBANA (009)",19753,431,6767,4936,3777,2578,1264
"Casa independiente (010)",18895,410,6456,4712,3574,2494,1249
"Departamento en edificio (011)",395,5,135,108,95,50,2
"Vivienda en quinta (012)",34,1,11,8,8,1,5
"Vivienda en casa de vecindad (013)",387,15,144,99,89,32,8
"Vivienda improvisada (015)",26,,16,3,6,1,
"Local no destinado para hab.humana (016)",16,,5,6,5,,
,,,,,,,
"RURAL (018)",36336,992,14010,8414,5703,4445,2772
"Casa independiente (019)",35065,950,13442,8128,5510,4313,2722
"Choza o cabaña (023)",1268,42,567,284,193,132,50
"Local no destinado para hab.humana (025)",3,,1,2,,,
