"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia HUANTA",,,,,,,,,
"Hogares (001)",23210,558,291,205,161,132,108,110,21645
"Ocupantes presentes (002)",92450,1707,883,683,609,613,587,693,86675
"Casa independiente",,,,,,,,,
"Hogares (004)",21508,518,267,190,154,126,100,103,20050
"Ocupantes presentes (005)",86245,1607,809,635,583,585,541,653,80832
"Departamento en edificio",,,,,,,,,
"Hogares (007)",33,3,1,1,,,,,28
"Ocupantes presentes (008)",123,18,3,6,,,,,96
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",139,7,5,1,1,2,,1,122
"Ocupantes presentes (011)",522,28,19,3,4,11,,9,448
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",92,4,3,1,2,2,3,2,75
"Ocupantes presentes (014)",361,12,14,3,5,7,18,8,294
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1357,26,14,12,4,2,5,2,1292
"Ocupantes presentes (017)",4877,42,36,36,17,10,28,15,4693
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",56,,,,,,,1,55
"Ocupantes presentes (020)",220,,,,,,,1,219
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",21,,1,,,,,1,19
"Ocupantes presentes (023)",92,,2,,,,,7,83
"Otro tipo",,,,,,,,,
"Hogares (025)",4,,,,,,,,4
"Ocupantes presentes (026)",10,,,,,,,,10
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",10275,385,208,155,126,107,64,90,9140
"Ocupantes presentes (029)",42123,1275,681,532,482,500,368,570,37715
"Casa independiente",,,,,,,,,
"Hogares (031)",9946,371,198,152,123,103,61,85,8853
"Ocupantes presentes (032)",40866,1217,643,520,473,482,350,545,36636
"Departamento en edificio",,,,,,,,,
"Hogares (034)",33,3,1,1,,,,,28
"Ocupantes presentes (035)",123,18,3,6,,,,,96
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",139,7,5,1,1,2,,1,122
"Ocupantes presentes (038)",522,28,19,3,4,11,,9,448
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",92,4,3,1,2,2,3,2,75
"Ocupantes presentes (041)",361,12,14,3,5,7,18,8,294
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",56,,,,,,,1,55
"Ocupantes presentes (047)",220,,,,,,,1,219
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",9,,1,,,,,1,7
"Ocupantes presentes (050)",31,,2,,,,,7,22
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",12935,173,83,50,35,25,44,20,12505
"Ocupantes presentes (056)",50327,432,202,151,127,113,219,123,48960
"Casa independiente",,,,,,,,,
"Hogares (058)",11562,147,69,38,31,23,39,18,11197
"Ocupantes presentes (059)",45379,390,166,115,110,103,191,108,44196
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1357,26,14,12,4,2,5,2,1292
"Ocupantes presentes (071)",4877,42,36,36,17,10,28,15,4693
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",12,,,,,,,,12
"Ocupantes presentes (077)",61,,,,,,,,61
"Otro tipo",,,,,,,,,
"Hogares (079)",4,,,,,,,,4
"Ocupantes presentes (080)",10,,,,,,,,10
