"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AREQUIPA (000)",813593,60694,22723,163927,241279,59814,81907,72521,110728
"Jefe o Jefa (001)",227577,10411,103,37316,69613,17527,29236,18481,44890
"Esposa(o)/ compa¤era(o) (002)",127531,8392,101,22093,38665,9209,18336,8061,22674
"Hijo(a)/ hijastro(a) (003)",316455,26620,17088,73938,89867,22011,22543,33989,30399
"Yerno/ nuera (004)",13577,55,15,405,4528,1652,2755,1301,2866
"Nieto(a) (005)",34928,6431,3920,11511,7487,1295,808,2555,921
"Padres/ suegros (006)",13297,4348,,4919,2303,208,491,210,818
"Otro(a) pariente (007)",56997,3631,1258,10126,20107,5448,5190,5591,5646
"Trabajador(a) del hogar (008)",3941,69,25,976,2165,359,215,85,47
"Pensionista (009)",977,24,,78,344,110,88,199,134
"Otro(a) no pariente (010)",18313,713,213,2565,6200,1995,2245,2049,2333
"Hombres (012)",389234,22497,11607,74555,121373,29887,36747,38947,53621
"Jefe o Jefa (013)",152588,2951,48,21841,49364,12340,19990,13482,32572
"Esposa(o)/ compa¤era(o) (014)",9813,225,5,1249,3647,904,1211,1038,1534
"Hijo(a)/ hijastro(a) (015)",159489,13504,8791,37743,47226,11094,10036,18027,13068
"Yerno/ nuera (016)",7165,19,7,162,2099,812,1524,781,1761
"Nieto(a) (017)",18131,3390,2024,5937,3923,717,385,1342,413
"Padres/ suegros (018)",3823,657,,1774,748,74,161,101,308
"Otro(a) pariente (019)",28774,1481,639,4663,10871,2868,2483,2985,2784
"Trabajador(a) del hogar (020)",305,3,,56,177,35,7,13,14
"Pensionista (021)",527,7,,42,196,65,37,110,70
"Otro(a) no pariente (022)",8619,260,93,1088,3122,978,913,1068,1097
"Mujeres (024)",424359,38197,11116,89372,119906,29927,45160,33574,57107
"Jefe o Jefa (025)",74989,7460,55,15475,20249,5187,9246,4999,12318
"Esposa(o)/ compa¤era(o) (026)",117718,8167,96,20844,35018,8305,17125,7023,21140
"Hijo(a)/ hijastro(a) (027)",156966,13116,8297,36195,42641,10917,12507,15962,17331
"Yerno/ nuera (028)",6412,36,8,243,2429,840,1231,520,1105
"Nieto(a) (029)",16797,3041,1896,5574,3564,578,423,1213,508
"Padres/ suegros (030)",9474,3691,,3145,1555,134,330,109,510
"Otro(a) pariente (031)",28223,2150,619,5463,9236,2580,2707,2606,2862
"Trabajador(a) del hogar (032)",3636,66,25,920,1988,324,208,72,33
"Pensionista (033)",450,17,,36,148,45,51,89,64
"Otro(a) no pariente (034)",9694,453,120,1477,3078,1017,1332,981,1236
,,,,,,,,,
"URBANA (036)",793915,57811,22196,157641,234993,58822,80920,71749,109783
"Jefe o Jefa (037)",220910,9583,90,35166,67430,17170,28884,18176,44411
"Esposa(o)/ compa¤era(o) (038)",123916,7707,89,20904,37542,9053,18129,7957,22535
"Hijo(a)/ hijastro(a) (039)",309163,25627,16656,71618,87526,21632,22231,33691,30182
"Yerno/ nuera (040)",13408,53,14,391,4452,1635,2725,1295,2843
