"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",14722,4614,2113,524,7539
"Hombres (001)",7803,2195,1064,318,4273
"Mujeres (002)",6919,2419,1049,206,3266
"PEA (003)",6452,1328,997,271,3907
"Hombres (004)",4917,998,638,208,3111
"Mujeres (005)",1535,330,359,63,796
"Ocupada (006)",6115,1252,978,266,3670
"Hombres (007)",4648,944,625,203,2914
"Mujeres (008)",1467,308,353,63,756
"Desocupada (009)",337,76,19,5,237
"Hombres (010)",269,54,13,5,197
"Mujeres (011)",68,22,6,,40
"No PEA (012)",8270,3286,1116,253,3632
"Hombres (013)",2886,1197,426,110,1162
"Mujeres (014)",5384,2089,690,143,2470
,,,,,
"URBANA (018)",11465,3505,1851,447,5726
"Hombres (019)",6015,1652,921,270,3215
"Mujeres (020)",5450,1853,930,177,2511
"PEA (021)",5097,1025,880,235,3004
"Hombres (022)",3762,743,555,177,2321
"Mujeres (023)",1335,282,325,58,683
"Ocupada (024)",4857,961,861,231,2851
"Hombres (025)",3586,700,542,173,2205
"Mujeres (026)",1271,261,319,58,646
"Desocupada (027)",240,64,19,4,153
"Hombres (028)",176,43,13,4,116
"Mujeres (029)",64,21,6,,37
"No PEA (030)",6368,2480,971,212,2722
"Hombres (031)",2253,909,366,93,894
"Mujeres (032)",4115,1571,605,119,1828
,,,,,
"RURAL (036)",3257,1109,262,77,1813
"Hombres (037)",1788,543,143,48,1058
"Mujeres (038)",1469,566,119,29,755
"PEA (039)",1355,303,117,36,903
"Hombres (040)",1155,255,83,31,790
"Mujeres (041)",200,48,34,5,113
"Ocupada (042)",1258,291,117,35,819
"Hombres (043)",1062,244,83,30,709
"Mujeres (044)",196,47,34,5,110
"Desocupada (045)",97,12,,1,84
"Hombres (046)",93,11,,1,81
"Mujeres (047)",4,1,,,3
"No PEA (048)",1902,806,145,41,910
"Hombres (049)",633,288,60,17,268
"Mujeres (050)",1269,518,85,24,642
