"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CASTROVIRREYNA (000)",6492,4875,631,477,509
"Hombres (001)",4531,3249,503,407,372
"Mujeres (002)",1961,1626,128,70,137
"De 06 a 14 años (003)",101,93,6,2,
"Hombres (004)",55,51,3,1,
"Mujeres (005)",46,42,3,1,
"De 15 a 29 años (006)",1756,1223,210,152,171
"Hombres (007)",1278,856,172,133,117
"Mujeres (008)",478,367,38,19,54
"De 30 a 44 años (009)",2216,1508,292,187,229
"Hombres (010)",1559,1012,227,158,162
"Mujeres (011)",657,496,65,29,67
"De 45 a 64 años (012)",1738,1394,112,133,99
"Hombres (013)",1188,900,90,114,84
"Mujeres (014)",550,494,22,19,15
"De 65 y más años (015)",681,657,11,3,10
"Hombres (016)",451,430,11,1,9
"Mujeres (017)",230,227,,2,1
,,,,,
"URBANA (018)",2630,1583,345,298,404
"Hombres (019)",1854,1058,262,245,289
"Mujeres (020)",776,525,83,53,115
"De 06 a 14 años (021)",44,41,2,1,
"Hombres (022)",26,25,,1,
"Mujeres (023)",18,16,2,,
"De 15 a 29 años (024)",778,455,106,79,138
"Hombres (025)",576,333,86,64,93
"Mujeres (026)",202,122,20,15,45
"De 30 a 44 años (027)",1005,531,170,125,179
"Hombres (028)",679,331,123,102,123
"Mujeres (029)",326,200,47,23,56
"De 45 a 64 años (030)",648,414,62,92,80
"Hombres (031)",467,275,48,77,67
"Mujeres (032)",181,139,14,15,13
"De 65 y más años (033)",155,142,5,1,7
"Hombres (034)",106,94,5,1,6
"Mujeres (035)",49,48,,,1
,,,,,
"RURAL (036)",3862,3292,286,179,105
"Hombres (037)",2677,2191,241,162,83
"Mujeres (038)",1185,1101,45,17,22
"De 06 a 14 años (039)",57,52,4,1,
"Hombres (040)",29,26,3,,
"Mujeres (041)",28,26,1,1,
"De 15 a 29 años (042)",978,768,104,73,33
"Hombres (043)",702,523,86,69,24
"Mujeres (044)",276,245,18,4,9
"De 30 a 44 años (045)",1211,977,122,62,50
"Hombres (046)",880,681,104,56,39
"Mujeres (047)",331,296,18,6,11
"De 45 a 64 años (048)",1090,980,50,41,19
"Hombres (049)",721,625,42,37,17
"Mujeres (050)",369,355,8,4,2
"De 65 y más años (051)",526,515,6,2,3
"Hombres (052)",345,336,6,,3
"Mujeres (053)",181,179,,2,
