"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PARINACOCHAS (000)",27500,5167,921,10113,7417,1154,1776,288,664
"Jefe o Jefa (001)",8221,1776,8,2829,2034,327,775,132,340
"Esposa(o)/ compa¤era(o) (002)",4340,1090,4,1544,1027,172,366,31,106
"Hijo(a)/ hijastro(a) (003)",10661,1467,720,4323,3119,458,386,79,109
"Yerno/ nuera (004)",349,6,1,79,145,42,59,3,14
"Nieto(a) (005)",1199,300,121,508,207,41,15,3,4
"Padres/ suegros (006)",304,202,,67,20,2,10,,3
"Otro(a) pariente (007)",1865,284,60,614,626,85,111,28,57
"Trabajador(a) del hogar (008)",63,3,,28,30,1,,1,
"Pensionista (009)",23,1,,7,6,2,3,1,3
"Otro(a) no pariente (010)",475,38,7,114,203,24,51,10,28
"Hombres (012)",13623,1795,446,5170,4133,588,886,191,414
"Jefe o Jefa (013)",5473,673,3,2044,1584,240,549,110,270
"Esposa(o)/ compa¤era(o) (014)",410,52,1,152,136,15,34,6,14
"Hijo(a)/ hijastro(a) (015)",5511,748,352,2228,1685,221,181,44,52
"Yerno/ nuera (016)",173,1,1,45,61,22,31,2,10
"Nieto(a) (017)",623,156,64,258,118,20,2,2,3
"Padres/ suegros (018)",94,40,,38,10,1,2,,3
"Otro(a) pariente (019)",1018,100,22,334,395,51,56,19,41
"Trabajador(a) del hogar (020)",12,,,6,6,,,,
"Pensionista (021)",16,1,,4,4,2,2,1,2
"Otro(a) no pariente (022)",293,24,3,61,134,16,29,7,19
"Mujeres (024)",13877,3372,475,4943,3284,566,890,97,250
"Jefe o Jefa (025)",2748,1103,5,785,450,87,226,22,70
"Esposa(o)/ compa¤era(o) (026)",3930,1038,3,1392,891,157,332,25,92
"Hijo(a)/ hijastro(a) (027)",5150,719,368,2095,1434,237,205,35,57
"Yerno/ nuera (028)",176,5,,34,84,20,28,1,4
"Nieto(a) (029)",576,144,57,250,89,21,13,1,1
"Padres/ suegros (030)",210,162,,29,10,1,8,,
"Otro(a) pariente (031)",847,184,38,280,231,34,55,9,16
"Trabajador(a) del hogar (032)",51,3,,22,24,1,,1,
"Pensionista (033)",7,,,3,2,,1,,1
"Otro(a) no pariente (034)",182,14,4,53,69,8,22,3,9
,,,,,,,,,
"URBANA (036)",16051,2083,533,5314,4919,919,1513,209,561
"Jefe o Jefa (037)",4497,535,3,1349,1365,240,647,81,277
"Esposa(o)/ compa¤era(o) (038)",2500,316,2,838,752,154,322,23,93
"Hijo(a)/ hijastro(a) (039)",6243,791,414,2280,1911,359,332,64,92
"Yerno/ nuera (040)",243,1,,36,96,40,53,3,14
"Nieto(a) (041)",751,172,79,306,144,31,14,3,2
"Padres/ suegros (042)",200,110,,55,20,2,10,,3
"Otro(a) pariente (043)",1194,136,30,345,450,67,89,24,53
"Trabajador(a) del hogar (044)",47,2,,19,24,1,,1,
"Pensionista (045)",17,,,5,4,2,3,1,2
"Otro(a) no pariente (046)",359,20,5,81,153,23,43,9,25
