"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CANGALLO (000)",24659,13370,1356,382,9570
"Conviviente (001)",3615,1632,230,50,1703
"Separado(a) (002)",496,246,36,12,204
"Casado(a) (003)",10257,5457,677,174,3959
"Viudo(a) (004)",1969,995,55,20,899
"Divorciado(a) (005)",82,37,7,,38
"Soltero(a) (006)",8240,5003,351,126,2767
"Hombres (008)",11568,5741,713,237,4885
"Conviviente (009)",1767,664,124,38,941
"Separado(a) (010)",106,27,22,7,51
"Casado(a) (011)",5058,2467,376,108,2112
"Viudo(a) (012)",374,151,14,7,202
"Divorciado(a) (013)",35,10,3,,22
"Soltero(a) (014)",4228,2422,174,77,1557
"Mujeres (016)",13091,7629,643,145,4685
"Conviviente (017)",1848,968,106,12,762
"Separado(a) (018)",390,219,14,5,153
"Casado(a) (019)",5199,2990,301,66,1847
"Viudo(a) (020)",1595,844,41,13,697
"Divorciado(a) (021)",47,27,4,,16
"Soltero(a) (022)",4012,2581,177,49,1210
,,,,,
"URBANA (024)",8758,3828,1047,160,3738
"Conviviente (025)",1338,460,175,30,673
"Separado(a) (026)",190,72,28,4,87
"Casado(a) (027)",3476,1436,514,71,1462
"Viudo(a) (028)",606,273,46,3,284
"Divorciado(a) (029)",30,12,6,,12
"Soltero(a) (030)",3118,1575,278,52,1220
"Hombres (032)",4167,1633,529,100,1912
"Conviviente (033)",648,174,90,22,362
"Separado(a) (034)",44,9,15,3,18
"Casado(a) (035)",1705,630,278,41,760
"Viudo(a) (036)",99,34,10,2,53
"Divorciado(a) (037)",11,3,2,,6
"Soltero(a) (038)",1660,783,134,32,713
"Mujeres (040)",4591,2195,518,60,1826
"Conviviente (041)",690,286,85,8,311
"Separado(a) (042)",146,63,13,1,69
"Casado(a) (043)",1771,806,236,30,702
"Viudo(a) (044)",507,239,36,1,231
"Divorciado(a) (045)",19,9,4,,6
"Soltero(a) (046)",1458,792,144,20,507
,,,,,
"RURAL (048)",15901,9542,309,222,5832
"Conviviente (049)",2277,1172,55,20,1030
"Separado(a) (050)",306,174,8,8,117
"Casado(a) (051)",6781,4021,163,103,2497
"Viudo(a) (052)",1363,722,9,17,615
"Divorciado(a) (053)",52,25,1,,26
"Soltero(a) (054)",5122,3428,73,74,1547
"Hombres (056)",7401,4108,184,137,2973
"Conviviente (057)",1119,490,34,16,579
"Separado(a) (058)",62,18,7,4,33
"Casado(a) (059)",3353,1837,98,67,1352
"Viudo(a) (060)",275,117,4,5,149
"Divorciado(a) (061)",24,7,1,,16
"Soltero(a) (062)",2568,1639,40,45,844
"Mujeres (064)",8500,5434,125,85,2859
"Conviviente (065)",1158,682,21,4,451
"Separado(a) (066)",244,156,1,4,84
"Casado(a) (067)",3428,2184,65,36,1145
"Viudo(a) (068)",1088,605,5,12,466
"Divorciado(a) (069)",28,18,,,10
"Soltero(a) (070)",2554,1789,33,29,703
