"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia COTABAMBAS (000)",998,21,362,377,197,41
"Sin nivel (001)",178,2,16,67,69,24
"Educación inicial (002)",3,1,1,1,,
"Primaria (003)",492,16,156,206,97,17
"Secundaria (004)",281,2,164,86,29,
"Superior no univ. incompleta (005)",13,,8,5,,
"Superior no univ. completa (006)",20,,12,6,2,
"Superior univ. incompleta (007)",3,,,3,,
"Superior univ. completa (008)",8,,5,3,,
"Hombres (010)",851,10,304,327,172,38
"Sin nivel (011)",135,1,11,51,51,21
"Educación inicial (012)",2,,1,1,,
"Primaria (013)",429,7,133,180,92,17
"Secundaria (014)",252,2,141,82,27,
"Superior no univ. incompleta (015)",11,,6,5,,
"Superior no univ. completa (016)",14,,9,3,2,
"Superior univ. incompleta (017)",2,,,2,,
"Superior univ. completa (018)",6,,3,3,,
"Mujeres (020)",147,11,58,50,25,3
"Sin nivel (021)",43,1,5,16,18,3
"Educación inicial (022)",1,1,,,,
"Primaria (023)",63,9,23,26,5,
"Secundaria (024)",29,,23,4,2,
"Superior no univ. incompleta (025)",2,,2,,,
"Superior no univ. completa (026)",6,,3,3,,
"Superior univ. incompleta (027)",1,,,1,,
"Superior univ. completa (028)",2,,2,,,
,,,,,,
"Area Urbana (030)",217,3,86,79,41,8
"Sin nivel (031)",23,,1,5,15,2
"Primaria (033)",73,3,14,33,17,6
"Secundaria (034)",89,,51,30,8,
"Superior no univ. incompleta (035)",7,,6,1,,
"Superior no univ. completa (036)",15,,10,4,1,
"Superior univ. incompleta (037)",3,,,3,,
"Superior univ. completa (038)",7,,4,3,,
"Hombres (040)",160,1,65,56,31,7
"Sin nivel (041)",9,,,1,7,1
"Primaria (043)",54,1,9,22,16,6
"Secundaria (044)",76,,43,26,7,
"Superior no univ. incompleta (045)",5,,4,1,,
"Superior no univ. completa (046)",9,,7,1,1,
"Superior univ. incompleta (047)",2,,,2,,
"Superior univ. completa (048)",5,,2,3,,
"Mujeres (050)",57,2,21,23,10,1
"Sin nivel (051)",14,,1,4,8,1
"Primaria (053)",19,2,5,11,1,
"Secundaria (054)",13,,8,4,1,
"Superior no univ. incompleta (055)",2,,2,,,
"Superior no univ. completa (056)",6,,3,3,,
"Superior univ. incompleta (057)",1,,,1,,
"Superior univ. completa (058)",2,,2,,,
,,,,,,
"Area Rural (060)",781,18,276,298,156,33
"Sin nivel (061)",155,2,15,62,54,22
"Educación inicial (062)",3,1,1,1,,
"Primaria (063)",419,13,142,173,80,11
"Secundaria (064)",192,2,113,56,21,
"Superior no univ. incompleta (065)",6,,2,4,,
"Superior no univ. completa (066)",5,,2,2,1,
"Superior univ. completa (068)",1,,1,,,
"Hombres (070)",691,9,239,271,141,31
"Sin nivel (071)",126,1,11,50,44,20
"Educación inicial (072)",2,,1,1,,
"Primaria (073)",375,6,124,158,76,11
"Secundaria (074)",176,2,98,56,20,
"Superior no univ. incompleta (075)",6,,2,4,,
"Superior no univ. completa (076)",5,,2,2,1,
"Superior univ. completa (078)",1,,1,,,
"Mujeres (080)",90,9,37,27,15,2
"Sin nivel (081)",29,1,4,12,10,2
"Educación inicial (082)",1,1,,,,
"Primaria (083)",44,7,18,15,4,
"Secundaria (084)",16,,15,,1,
