"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia ANDAHUAYLAS (000)",70796,10307,21545,19653,19291
"Asiste actualmente (001)",52068,4873,20676,18413,8106
"No asiste (002)",18728,5434,869,1240,11185
"Hombres (004)",35630,5221,10997,9898,9514
"Asiste actualmente (005)",26824,2429,10587,9395,4413
"No asiste (006)",8806,2792,410,503,5101
"Mujeres (008)",35166,5086,10548,9755,9777
"Asiste actualmente (009)",25244,2444,10089,9018,3693
"No asiste (010)",9922,2642,459,737,6084
,,,,,
"URBANA (012)",31678,4324,9023,8843,9488
"Asiste actualmente (013)",24302,2299,8694,8397,4912
"No asiste (014)",7376,2025,329,446,4576
"Hombres (016)",15747,2187,4587,4335,4638
"Asiste actualmente (017)",12235,1132,4434,4135,2534
"No asiste (018)",3512,1055,153,200,2104
"Mujeres (020)",15931,2137,4436,4508,4850
"Asiste actualmente (021)",12067,1167,4260,4262,2378
"No asiste (022)",3864,970,176,246,2472
,,,,,
"RURAL (024)",39118,5983,12522,10810,9803
"Asiste actualmente (025)",27766,2574,11982,10016,3194
"No asiste (026)",11352,3409,540,794,6609
"Hombres (028)",19883,3034,6410,5563,4876
"Asiste actualmente (029)",14589,1297,6153,5260,1879
"No asiste (030)",5294,1737,257,303,2997
"Mujeres (032)",19235,2949,6112,5247,4927
"Asiste actualmente (033)",13177,1277,5829,4756,1315
"No asiste (034)",6058,1672,283,491,3612
