"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia VICTOR FAJARDO (000)",13704,11753,7936,1741,2076,1951,15,261,1473,202
"Casa independiente (001)",10989,9401,7327,1338,736,1588,15,260,1168,145
"Vivienda en quinta (003)",21,21,20,1,,,,,,
"Vivienda en casa de vecindad (004)",61,49,35,13,1,12,,1,9,2
"Choza o cabaña (005)",2612,2264,540,385,1339,348,,,293,55
"Vivienda improvisada (006)",20,17,13,4,,3,,,3,
"Local no dest.para hab. humana (007)",1,1,1,,,,,,,
,,,,,,,,,,
"URBANA (009)",7845,6783,5617,859,307,1062,12,154,831,65
"Casa independiente (010)",7742,6695,5548,841,306,1047,12,153,819,63
"Vivienda en quinta (012)",21,21,20,1,,,,,,
"Vivienda en casa de vecindad (013)",61,49,35,13,1,12,,1,9,2
"Vivienda improvisada (015)",20,17,13,4,,3,,,3,
"Local no dest.para hab. humana (016)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",5859,4970,2319,882,1769,889,3,107,642,137
"Casa independiente (019)",3247,2706,1779,497,430,541,3,107,349,82
"Choza o cabaña (023)",2612,2264,540,385,1339,348,,,293,55
