"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia ANTA (000)",17200,371,4878,5722,4669,1560
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",33,,3,16,13,1
"Profes., científicos e intelectuales (002)",640,,203,282,149,6
"Técnicos de nivel medio y trab.asimilados (003)",291,2,138,97,46,8
"Jefes y empleados de oficina (004)",256,,112,85,57,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1599,28,476,601,397,97
"Agricult.trabaj. calif. agrop. y pesqueros (006)",6924,31,1082,2301,2429,1081
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",724,5,351,214,129,25
"Obreros construc., conf., papel, fab., instr. (008)",1403,11,453,581,332,26
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",4269,284,1667,1181,899,238
"Otra (010)",53,,14,31,8,
"Ocupación no especificada (011)",465,3,124,157,127,54
"Desocupado (012)",543,7,255,176,83,22
"Hombres (013)",12604,260,3401,4216,3524,1203
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",27,,3,13,10,1
"Profes., científicos e intelectuales (015)",327,,73,140,108,6
"Técnicos de nivel medio y trab.asimilados (016)",176,1,76,60,32,7
"Jefes y empleados de oficina (017)",168,,59,62,46,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",467,14,170,164,100,19
"Agricult.trabaj. calif. agrop. y pesqueros (019)",6249,25,953,2121,2172,978
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",612,4,295,180,114,19
"Obreros construc., conf., papel, fab., instr. (021)",1360,7,430,570,328,25
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",2657,203,1124,700,516,114
"Otra (023)",51,,13,30,8,
"Ocupación no especificada (024)",123,2,37,44,23,17
"Desocupado (025)",387,4,168,132,67,16
"Mujeres (026)",4596,111,1477,1506,1145,357
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",6,,,3,3,
"Profes., científicos e intelectuales (028)",313,,130,142,41,
"Técnicos de nivel medio y trab.asimilados (029)",115,1,62,37,14,1
"Jefes y empleados de oficina (030)",88,,53,23,11,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1132,14,306,437,297,78
"Agricult.trabaj. calif. agrop. y pesqueros (032)",675,6,129,180,257,103
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",112,1,56,34,15,6
