"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PARURO (000)",8177,132,3529,2461,661,199,117,41,14,,1023
"Catolica (001)",6900,101,2889,2095,580,181,104,40,11,,899
"Cristiana / Evangelica (002)",1100,25,570,299,68,13,13,1,3,,108
"Otra (003)",129,4,54,52,8,3,,,,,8
"Ninguna (004)",48,2,16,15,5,2,,,,,8
,,,,,,,,,,,
"URBANA (006)",2934,43,1099,878,307,96,56,18,6,,431
"Catolica (007)",2659,35,983,802,285,88,52,17,3,,394
"Cristiana / Evangelica (008)",223,7,102,56,17,5,4,1,3,,28
"Otra (009)",37,,12,15,3,2,,,,,5
"Ninguna (010)",15,1,2,5,2,1,,,,,4
,,,,,,,,,,,
"RURAL (012)",5243,89,2430,1583,354,103,61,23,8,,592
"Catolica (013)",4241,66,1906,1293,295,93,52,23,8,,505
"Cristiana / Evangelica (014)",877,18,468,243,51,8,9,,,,80
"Otra (015)",92,4,42,37,5,1,,,,,3
"Ninguna (016)",33,1,14,10,3,1,,,,,4
