"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARHUAZ (000)",12889,2208,49,5167,3273,416,861,262,653
"Empleado (001)",1605,36,4,133,366,100,463,106,397
"Obrero (002)",2064,277,8,911,666,51,78,47,26
"Trabajador independiente (003)",7087,1351,25,3334,1644,194,268,87,184
"Empleador o patrono (004)",145,14,1,41,43,14,10,2,20
"Trabajador familiar no remunerado (005)",1676,413,7,649,480,45,38,18,26
"Trabajador del hogar (006)",312,117,4,99,74,12,4,2,
"Hombres (008)",9533,1170,26,4198,2696,294,535,186,428
"Empleado (009)",1011,14,1,90,272,68,261,68,237
"Obrero (010)",1817,185,6,821,616,45,74,44,26
"Trabajador independiente (011)",5708,891,16,2886,1407,145,170,61,132
"Empleador o patrono (012)",104,6,1,31,30,11,8,2,15
"Trabajador familiar no remunerado (013)",886,73,2,367,369,24,22,11,18
"Trabajador del hogar (014)",7,1,,3,2,1,,,
"Mujeres (016)",3356,1038,23,969,577,122,326,76,225
"Empleado (017)",594,22,3,43,94,32,202,38,160
"Obrero (018)",247,92,2,90,50,6,4,3,
"Trabajador independiente (019)",1379,460,9,448,237,49,98,26,52
"Empleador o patrono (020)",41,8,,10,13,3,2,,5
"Trabajador familiar no remunerado (021)",790,340,5,282,111,21,16,7,8
"Trabajador del hogar (022)",305,116,4,96,72,11,4,2,
,,,,,,,,,
"URBANA (024)",5250,607,22,1505,1448,289,631,199,549
"Empleado (025)",1133,18,1,68,218,70,341,83,334
"Obrero (026)",784,72,3,292,279,32,55,32,19
"Trabajador independiente (027)",2501,341,11,901,693,137,197,66,155
"Empleador o patrono (028)",102,8,,23,30,13,9,2,17
"Trabajador familiar no remunerado (029)",581,131,4,172,182,28,25,15,24
"Trabajador del hogar (030)",149,37,3,49,46,9,4,1,
"Hombres (032)",3440,219,8,1077,1072,188,390,134,352
"Empleado (033)",680,4,,47,149,43,195,49,193
"Obrero (034)",677,38,1,258,251,28,52,30,19
"Trabajador independiente (035)",1737,156,6,671,532,94,124,44,110
"Empleador o patrono (036)",71,2,,18,19,10,7,2,13
"Trabajador familiar no remunerado (037)",270,18,1,82,119,12,12,9,17
"Trabajador del hogar (038)",5,1,,1,2,1,,,
"Mujeres (040)",1810,388,14,428,376,101,241,65,197
"Empleado (041)",453,14,1,21,69,27,146,34,141
"Obrero (042)",107,34,2,34,28,4,3,2,
"Trabajador independiente (043)",764,185,5,230,161,43,73,22,45
"Empleador o patrono (044)",31,6,,5,11,3,2,,4
"Trabajador familiar no remunerado (045)",311,113,3,90,63,16,13,6,7
"Trabajador del hogar (046)",144,36,3,48,44,8,4,1,
,,,,,,,,,
"RURAL (048)",7639,1601,27,3662,1825,127,230,63,104
"Empleado (049)",472,18,3,65,148,30,122,23,63
"Obrero (050)",1280,205,5,619,387,19,23,15,7
"Trabajador independiente (051)",4586,1010,14,2433,951,57,71,21,29
"Empleador o patrono (052)",43,6,1,18,13,1,1,,3
"Trabajador familiar no remunerado (053)",1095,282,3,477,298,17,13,3,2
"Trabajador del hogar (054)",163,80,1,50,28,3,,1,
"Hombres (056)",6093,951,18,3121,1624,106,145,52,76
"Empleado (057)",331,10,1,43,123,25,66,19,44
"Obrero (058)",1140,147,5,563,365,17,22,14,7
"Trabajador independiente (059)",3971,735,10,2215,875,51,46,17,22
"Empleador o patrono (060)",33,4,1,13,11,1,1,,2
"Trabajador familiar no remunerado (061)",616,55,1,285,250,12,10,2,1
"Trabajador del hogar (062)",2,,,2,,,,,
"Mujeres (064)",1546,650,9,541,201,21,85,11,28
"Empleado (065)",141,8,2,22,25,5,56,4,19
"Obrero (066)",140,58,,56,22,2,1,1,
"Trabajador independiente (067)",615,275,4,218,76,6,25,4,7
"Empleador o patrono (068)",10,2,,5,2,,,,1
"Trabajador familiar no remunerado (069)",479,227,2,192,48,5,3,1,1
"Trabajador del hogar (070)",161,80,1,48,28,3,,1,
