"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia PISCO (000)",45715,26553,5335,5097,8730
"Hombres (001)",32132,18482,3939,3354,6357
"Mujeres (002)",13583,8071,1396,1743,2373
"De 06 a 14 años (003)",570,468,54,35,13
"Hombres (004)",394,326,39,23,6
"Mujeres (005)",176,142,15,12,7
"De 15 a 29 años (006)",15844,8671,2135,1916,3122
"Hombres (007)",11248,6185,1576,1264,2223
"Mujeres (008)",4596,2486,559,652,899
"De 30 a 44 años (009)",16747,9172,1970,1998,3607
"Hombres (010)",11429,6091,1430,1267,2641
"Mujeres (011)",5318,3081,540,731,966
"De 45 a 64 años (012)",10923,6892,1058,1081,1892
"Hombres (013)",7789,4838,790,750,1411
"Mujeres (014)",3134,2054,268,331,481
"De 65 y más años (015)",1631,1350,118,67,96
"Hombres (016)",1272,1042,104,50,76
"Mujeres (017)",359,308,14,17,20
,,,,,
"URBANA (018)",39923,21982,4925,4795,8221
"Hombres (019)",27584,14846,3615,3130,5993
"Mujeres (020)",12339,7136,1310,1665,2228
"De 06 a 14 años (021)",507,410,54,30,13
"Hombres (022)",344,278,39,21,6
"Mujeres (023)",163,132,15,9,7
"De 15 a 29 años (024)",13841,7214,1955,1773,2899
"Hombres (025)",9663,5002,1431,1157,2073
"Mujeres (026)",4178,2212,524,616,826
"De 30 a 44 años (027)",14797,7680,1818,1898,3401
"Hombres (028)",9937,4936,1311,1196,2494
"Mujeres (029)",4860,2744,507,702,907
"De 45 a 64 años (030)",9531,5691,991,1031,1818
"Hombres (031)",6695,3897,739,709,1350
"Mujeres (032)",2836,1794,252,322,468
"De 65 y más años (033)",1247,987,107,63,90
"Hombres (034)",945,733,95,47,70
"Mujeres (035)",302,254,12,16,20
,,,,,
"RURAL (036)",5792,4571,410,302,509
"Hombres (037)",4548,3636,324,224,364
"Mujeres (038)",1244,935,86,78,145
"De 06 a 14 años (039)",63,58,,5,
"Hombres (040)",50,48,,2,
"Mujeres (041)",13,10,,3,
"De 15 a 29 años (042)",2003,1457,180,143,223
"Hombres (043)",1585,1183,145,107,150
"Mujeres (044)",418,274,35,36,73
"De 30 a 44 años (045)",1950,1492,152,100,206
"Hombres (046)",1492,1155,119,71,147
"Mujeres (047)",458,337,33,29,59
"De 45 a 64 años (048)",1392,1201,67,50,74
"Hombres (049)",1094,941,51,41,61
"Mujeres (050)",298,260,16,9,13
"De 65 y más años (051)",384,363,11,4,6
"Hombres (052)",327,309,9,3,6
"Mujeres (053)",57,54,2,1,
