"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CALCA (000)",21690,490,6794,7469,5349,1588
"Empleado (001)",2372,19,849,988,479,37
"Obrero (002)",2159,37,865,758,423,76
"Trabajador independiente (003)",12153,62,3148,4442,3377,1124
"Empleador o patrono (004)",703,2,140,234,234,93
"Trabajador familiar no remunerado (005)",4011,310,1640,1001,813,247
"Trabajador del hogar (006)",292,60,152,46,23,11
"Hombres (008)",15041,294,4642,5213,3738,1154
"Empleado (009)",1362,14,439,556,328,25
"Obrero (010)",1913,37,772,674,369,61
"Trabajador independiente (011)",9077,39,2254,3343,2557,884
"Empleador o patrono (012)",558,1,111,190,179,77
"Trabajador familiar no remunerado (013)",2072,184,1040,445,301,102
"Trabajador del hogar (014)",59,19,26,5,4,5
"Mujeres (016)",6649,196,2152,2256,1611,434
"Empleado (017)",1010,5,410,432,151,12
"Obrero (018)",246,,93,84,54,15
"Trabajador independiente (019)",3076,23,894,1099,820,240
"Empleador o patrono (020)",145,1,29,44,55,16
"Trabajador familiar no remunerado (021)",1939,126,600,556,512,145
"Trabajador del hogar (022)",233,41,126,41,19,6
,,,,,,
"URBANA (024)",8795,236,2757,3203,2066,533
"Empleado (025)",1918,15,652,802,419,30
"Obrero (026)",1029,26,426,350,193,34
"Trabajador independiente (027)",4707,41,1264,1773,1232,397
"Empleador o patrono (028)",178,1,45,63,54,15
"Trabajador familiar no remunerado (029)",745,99,262,185,148,51
"Trabajador del hogar (030)",218,54,108,30,20,6
"Hombres (032)",5361,146,1689,1917,1268,341
"Empleado (033)",1090,12,337,437,285,19
"Obrero (034)",912,26,383,303,174,26
"Trabajador independiente (035)",2856,26,763,1063,738,266
"Empleador o patrono (036)",110,,33,42,24,11
"Trabajador familiar no remunerado (037)",353,65,156,70,45,17
"Trabajador del hogar (038)",40,17,17,2,2,2
"Mujeres (040)",3434,90,1068,1286,798,192
"Empleado (041)",828,3,315,365,134,11
"Obrero (042)",117,,43,47,19,8
"Trabajador independiente (043)",1851,15,501,710,494,131
"Empleador o patrono (044)",68,1,12,21,30,4
"Trabajador familiar no remunerado (045)",392,34,106,115,103,34
"Trabajador del hogar (046)",178,37,91,28,18,4
,,,,,,
"RURAL (048)",12895,254,4037,4266,3283,1055
"Empleado (049)",454,4,197,186,60,7
"Obrero (050)",1130,11,439,408,230,42
"Trabajador independiente (051)",7446,21,1884,2669,2145,727
"Empleador o patrono (052)",525,1,95,171,180,78
"Trabajador familiar no remunerado (053)",3266,211,1378,816,665,196
"Trabajador del hogar (054)",74,6,44,16,3,5
"Hombres (056)",9680,148,2953,3296,2470,813
"Empleado (057)",272,2,102,119,43,6
"Obrero (058)",1001,11,389,371,195,35
"Trabajador independiente (059)",6221,13,1491,2280,1819,618
"Empleador o patrono (060)",448,1,78,148,155,66
"Trabajador familiar no remunerado (061)",1719,119,884,375,256,85
"Trabajador del hogar (062)",19,2,9,3,2,3
"Mujeres (064)",3215,106,1084,970,813,242
"Empleado (065)",182,2,95,67,17,1
"Obrero (066)",129,,50,37,35,7
"Trabajador independiente (067)",1225,8,393,389,326,109
"Empleador o patrono (068)",77,,17,23,25,12
"Trabajador familiar no remunerado (069)",1547,92,494,441,409,111
"Trabajador del hogar (070)",55,4,35,13,1,2
