"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LAMAS (000)",67841,16812,21390,15050,10595,3994
"Hombres (001)",35857,8656,11490,8101,5656,1954
"Mujeres (002)",31984,8156,9900,6949,4939,2040
"PEA (003)",33315,1526,12235,10469,7251,1834
"Hombres (004)",24143,1040,9064,7527,5145,1367
"Mujeres (005)",9172,486,3171,2942,2106,467
"Ocupada (006)",32666,1478,11900,10321,7157,1810
"Hombres (007)",23680,1014,8841,7409,5069,1347
"Mujeres (008)",8986,464,3059,2912,2088,463
"Desocupada (009)",649,48,335,148,94,24
"Hombres (010)",463,26,223,118,76,20
"Mujeres (011)",186,22,112,30,18,4
"No PEA (012)",34526,15286,9155,4581,3344,2160
"Hombres (013)",11714,7616,2426,574,511,587
"Mujeres (014)",22812,7670,6729,4007,2833,1573
,,,,,,
"URBANA (018)",33279,7441,9917,7674,5770,2477
"Hombres (019)",17084,3754,5197,3952,3010,1171
"Mujeres (020)",16195,3687,4720,3722,2760,1306
"PEA (021)",16257,485,5265,5457,3992,1058
"Hombres (022)",11000,337,3669,3601,2644,749
"Mujeres (023)",5257,148,1596,1856,1348,309
"Ocupada (024)",15840,468,5062,5355,3918,1037
"Hombres (025)",10696,325,3531,3523,2585,732
"Mujeres (026)",5144,143,1531,1832,1333,305
"Desocupada (027)",417,17,203,102,74,21
"Hombres (028)",304,12,138,78,59,17
"Mujeres (029)",113,5,65,24,15,4
"No PEA (030)",17022,6956,4652,2217,1778,1419
"Hombres (031)",6084,3417,1528,351,366,422
"Mujeres (032)",10938,3539,3124,1866,1412,997
,,,,,,
"RURAL (036)",34562,9371,11473,7376,4825,1517
"Hombres (037)",18773,4902,6293,4149,2646,783
"Mujeres (038)",15789,4469,5180,3227,2179,734
"PEA (039)",17058,1041,6970,5012,3259,776
"Hombres (040)",13143,703,5395,3926,2501,618
"Mujeres (041)",3915,338,1575,1086,758,158
"Ocupada (042)",16826,1010,6838,4966,3239,773
"Hombres (043)",12984,689,5310,3886,2484,615
"Mujeres (044)",3842,321,1528,1080,755,158
"Desocupada (045)",232,31,132,46,20,3
"Hombres (046)",159,14,85,40,17,3
"Mujeres (047)",73,17,47,6,3,
"No PEA (048)",17504,8330,4503,2364,1566,741
"Hombres (049)",5630,4199,898,223,145,165
"Mujeres (050)",11874,4131,3605,2141,1421,576
