"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia MARISCAL NIETO (000)",51202,50683,519
"Hombres (001)",26182,25959,223
"Mujeres (002)",25020,24724,296
"De 18 a 29 años (003)",16318,16065,253
"Hombres (004)",8202,8052,150
"Mujeres (005)",8116,8013,103
"De 30 a 44 años (006)",17240,17192,48
"Hombres (007)",8731,8714,17
"Mujeres (008)",8509,8478,31
"De 45 a 64 años (009)",12444,12400,44
"Hombres (010)",6519,6498,21
"Mujeres (011)",5925,5902,23
"De 65 y más años (012)",5200,5026,174
"Hombres (013)",2730,2695,35
"Mujeres (014)",2470,2331,139
,,,
"URBANA (015)",43679,43260,419
"Hombres (016)",21852,21670,182
"Mujeres (017)",21827,21590,237
"De 18 a 29 años (018)",14228,14006,222
"Hombres (019)",6990,6859,131
"Mujeres (020)",7238,7147,91
"De 30 a 44 años (021)",14881,14846,35
"Hombres (022)",7328,7315,13
"Mujeres (023)",7553,7531,22
"De 45 a 64 años (024)",10445,10414,31
"Hombres (025)",5379,5366,13
"Mujeres (026)",5066,5048,18
"De 65 y más años (027)",4125,3994,131
"Hombres (028)",2155,2130,25
"Mujeres (029)",1970,1864,106
,,,
"RURAL (030)",7523,7423,100
"Hombres (031)",4330,4289,41
"Mujeres (032)",3193,3134,59
"De 18 a 29 años (033)",2090,2059,31
"Hombres (034)",1212,1193,19
"Mujeres (035)",878,866,12
"De 30 a 44 años (036)",2359,2346,13
"Hombres (037)",1403,1399,4
"Mujeres (038)",956,947,9
"De 45 a 64 años (039)",1999,1986,13
"Hombres (040)",1140,1132,8
"Mujeres (041)",859,854,5
"De 65 y más años (042)",1075,1032,43
"Hombres (043)",575,565,10
"Mujeres (044)",500,467,33
