"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia QUISPICANCHI (000)",28394,27093,8074,2996,2982,2777,4350,2881,3033,1301
"Católica (001)",22073,21034,6218,2417,2397,2163,3297,2191,2351,1039
"Cristiana/Evangélica (002)",5090,4895,1477,458,486,498,847,556,573,195
"Otra (003)",965,913,274,88,79,92,173,115,92,52
"Ninguna (004)",266,251,105,33,20,24,33,19,17,15
,,,,,,,,,,
"URBANA (006)",10738,10097,3007,1391,1341,1177,1551,897,733,641
"Católica (007)",9384,8828,2607,1235,1189,1042,1353,774,628,556
"Cristiana/Evangélica (008)",996,940,291,112,115,98,149,88,87,56
"Otra (009)",271,249,80,31,26,31,34,31,16,22
"Ninguna (010)",87,80,29,13,11,6,15,4,2,7
,,,,,,,,,,
"RURAL (012)",17656,16996,5067,1605,1641,1600,2799,1984,2300,660
"Católica (013)",12689,12206,3611,1182,1208,1121,1944,1417,1723,483
"Cristiana/Evangélica (014)",4094,3955,1186,346,371,400,698,468,486,139
"Otra (015)",694,664,194,57,53,61,139,84,76,30
"Ninguna (016)",179,171,76,20,9,18,18,15,15,8
