"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CANGALLO (000)",9608,116,3953,2984,847,296,137,58,12,,1205
"Catolica (001)",6777,76,2689,2106,628,216,96,35,6,,925
"Cristiana / Evangelica (002)",2671,39,1202,830,207,74,37,20,6,,256
"Otra (003)",81,,30,22,7,5,2,2,,,13
"Ninguna (004)",79,1,32,26,5,1,2,1,,,11
,,,,,,,,,,,
"URBANA (006)",3311,47,1360,964,291,128,50,23,3,,445
"Catolica (007)",2434,34,973,705,233,101,34,14,3,,337
"Cristiana / Evangelica (008)",774,12,347,227,52,23,14,7,,,92
"Otra (009)",56,,19,16,4,4,1,2,,,10
"Ninguna (010)",47,1,21,16,2,,1,,,,6
,,,,,,,,,,,
"RURAL (012)",6297,69,2593,2020,556,168,87,35,9,,760
"Catolica (013)",4343,42,1716,1401,395,115,62,21,3,,588
"Cristiana / Evangelica (014)",1897,27,855,603,155,51,23,13,6,,164
"Otra (015)",25,,11,6,3,1,1,,,,3
"Ninguna (016)",32,,11,10,3,1,1,1,,,5
