"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia SUCRE (000)",4666,4555,1152,457,451,411,731,545,808,111
"Católica (001)",4127,4025,1026,412,407,370,647,466,697,102
"Cristiana/Evangélica (002)",484,475,103,41,39,37,80,72,103,9
"Otra (003)",18,18,7,,,2,3,3,3,
"Ninguna (004)",37,37,16,4,5,2,1,4,5,
,,,,,,,,,,
"URBANA (006)",2856,2786,751,273,294,266,475,300,427,70
"Católica (007)",2631,2565,696,247,273,252,423,273,401,66
"Cristiana/Evangélica (008)",196,192,43,22,20,11,49,24,23,4
"Otra (009)",12,12,5,,,2,2,2,1,
"Ninguna (010)",17,17,7,4,1,1,1,1,2,
,,,,,,,,,,
"RURAL (012)",1810,1769,401,184,157,145,256,245,381,41
"Católica (013)",1496,1460,330,165,134,118,224,193,296,36
"Cristiana/Evangélica (014)",288,283,60,19,19,26,31,48,80,5
"Otra (015)",6,6,2,,,,1,1,2,
"Ninguna (016)",20,20,9,,4,1,,3,3,
