"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUANCABAMBA (000)",29857,28637,140,4735,4440,3947,6521,4940,2859,1055,1220,121691
"De 12 a 14 años (001)",67,22,2,17,3,,,,,,45,23
"De 15 a 19 años (002)",853,765,12,658,81,13,1,,,,88,863
"De 20 a 24 años (003)",3118,2756,23,1449,894,310,74,6,,,362,4516
"De 25 a 29 años (004)",3452,3187,18,901,955,710,548,52,3,,265,7623
"De 30 a 34 años (005)",3411,3276,9,503,783,759,915,268,36,3,135,10370
"De 35 a 39 años (006)",3370,3292,9,322,479,647,1087,574,155,19,78,13189
"De 40 a 44 años (007)",3048,2976,8,202,345,382,913,695,327,104,72,14442
"De 45 a 49 años (008)",2742,2692,9,158,241,277,729,723,415,140,50,14409
"De 50 y más años (009)",9796,9671,50,525,659,849,2254,2622,1923,789,125,56256
"PEA (010)",5441,5098,32,1098,1018,752,1089,658,334,117,343,18562
"De 12 a 14 años (011)",7,1,,1,,,,,,,6,1
"De 15 a 19 años (012)",129,113,6,94,10,2,1,,,,16,124
"De 20 a 24 años (013)",529,435,9,261,119,32,13,1,,,94,655
"De 25 a 29 años (014)",670,575,6,232,179,87,67,4,,,95,1165
"De 30 a 34 años (015)",779,729,2,171,223,146,137,43,7,,50,1987
"De 35 a 39 años (016)",713,685,,110,164,146,176,72,16,1,28,2258
"De 40 a 44 años (017)",703,683,2,67,130,112,206,115,39,12,20,2782
"De 45 a 49 años (018)",602,588,2,58,82,91,157,104,72,22,14,2721
"De 50 y más años (019)",1309,1289,5,104,111,136,332,319,200,82,20,6869
"Ocupada (020)",5223,4930,30,1041,986,727,1057,646,326,117,293,18075
"De 12 a 14 años (021)",5,1,,1,,,,,,,4,1
