"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHICLAYO (000)",213194,2092,63724,66682,31152,12725,5371,1385,192,,29871
"Sin Nivel (001)",20812,492,8374,6183,2007,855,507,225,28,,2141
"Educación Inicial (002)",218,5,80,51,21,3,,,,,58
"Primaria (003)",56734,916,22997,17320,6064,2380,1269,407,51,,5330
"Secundaria (004)",69888,498,23636,23511,8729,3167,1296,297,50,,8704
"Sup. no Univ. Incompleta (005)",11370,49,2400,4152,1823,619,196,39,3,,2089
"Sup. no Univ. Completa (006)",24180,61,2935,7507,5885,2501,907,160,21,,4203
"Sup. Univ. Incompleta (007)",8205,21,1353,2687,1179,403,137,34,3,,2388
"Sup. Univ. Completa (008)",21787,50,1949,5271,5444,2797,1059,223,36,,4958
,,,,,,,,,,,
"URBANA (010)",200358,1898,58661,62706,29900,12297,5199,1337,187,,28173
"Sin Nivel (011)",18164,420,7209,5374,1794,766,462,208,27,,1904
"Educación Inicial (012)",204,5,77,47,19,3,,,,,53
"Primaria (013)",51036,827,20540,15587,5568,2228,1192,384,51,,4659
"Secundaria (014)",66260,468,22290,22341,8343,3033,1264,292,47,,8182
"Sup. no Univ. Incompleta (015)",11137,47,2362,4067,1792,612,193,39,3,,2022
"Sup. no Univ. Completa (016)",23811,61,2907,7389,5805,2471,899,158,20,,4101
"Sup. Univ. Incompleta (017)",8127,21,1340,2665,1169,400,136,33,3,,2360
"Sup. Univ. Completa (018)",21619,49,1936,5236,5410,2784,1053,223,36,,4892
,,,,,,,,,,,
"RURAL (020)",12836,194,5063,3976,1252,428,172,48,5,,1698
"Sin Nivel (021)",2648,72,1165,809,213,89,45,17,1,,237
"Educación Inicial (022)",14,,3,4,2,,,,,,5
"Primaria (023)",5698,89,2457,1733,496,152,77,23,,,671
"Secundaria (024)",3628,30,1346,1170,386,134,32,5,3,,522
"Sup. no Univ. Incompleta (025)",233,2,38,85,31,7,3,,,,67
"Sup. no Univ. Completa (026)",369,,28,118,80,30,8,2,1,,102
"Sup. Univ. Incompleta (027)",78,,13,22,10,3,1,1,,,28
"Sup. Univ. Completa (028)",168,1,13,35,34,13,6,,,,66
