"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia TARATA (000)",6352,678,1001,1142,1035,851,1645
"Católica (001)",5066,501,768,881,836,711,1369
"Cristiana/Evangélica (002)",541,65,84,112,77,55,148
"Otra (003)",543,82,106,100,93,65,97
"Ninguna (004)",202,30,43,49,29,20,31
"Hombres (006)",3278,372,506,604,557,437,802
"Católica (007)",2622,269,390,467,457,374,665
"Cristiana/Evangélica (008)",256,34,34,56,39,19,74
"Otra (009)",274,48,52,56,41,36,41
"Ninguna (010)",126,21,30,25,20,8,22
"Mujeres (012)",3074,306,495,538,478,414,843
"Católica (013)",2444,232,378,414,379,337,704
"Cristiana/Evangélica (014)",285,31,50,56,38,36,74
"Otra (015)",269,34,54,44,52,29,56
"Ninguna (016)",76,9,13,24,9,12,9
,,,,,,,
"URBANA (018)",4949,543,779,891,810,658,1268
"Católica (019)",3964,411,592,689,666,547,1059
"Cristiana/Evangélica (020)",358,39,60,76,45,40,98
"Otra (021)",458,68,93,84,74,53,86
"Ninguna (022)",169,25,34,42,25,18,25
"Hombres (024)",2535,298,397,462,432,334,612
"Católica (025)",2032,220,301,359,358,282,512
"Cristiana/Evangélica (026)",171,23,27,35,25,14,47
"Otra (027)",227,38,46,45,31,31,36
"Ninguna (028)",105,17,23,23,18,7,17
"Mujeres (030)",2414,245,382,429,378,324,656
"Católica (031)",1932,191,291,330,308,265,547
"Cristiana/Evangélica (032)",187,16,33,41,20,26,51
"Otra (033)",231,30,47,39,43,22,50
"Ninguna (034)",64,8,11,19,7,11,8
,,,,,,,
"RURAL (036)",1403,135,222,251,225,193,377
"Católica (037)",1102,90,176,192,170,164,310
"Cristiana/Evangélica (038)",183,26,24,36,32,15,50
"Otra (039)",85,14,13,16,19,12,11
"Ninguna (040)",33,5,9,7,4,2,6
"Hombres (042)",743,74,109,142,125,103,190
"Católica (043)",590,49,89,108,99,92,153
"Cristiana/Evangélica (044)",85,11,7,21,14,5,27
"Otra (045)",47,10,6,11,10,5,5
"Ninguna (046)",21,4,7,2,2,1,5
"Mujeres (048)",660,61,113,109,100,90,187
"Católica (049)",512,41,87,84,71,72,157
"Cristiana/Evangélica (050)",98,15,17,15,18,10,23
"Otra (051)",38,4,7,5,9,7,6
"Ninguna (052)",12,1,2,5,2,1,1
