"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia BAGUA (000)",39145,35430,3715
"Hombres (001)",20050,18641,1409
"Mujeres (002)",19095,16789,2306
"De 18 a 29 años (003)",14059,12111,1948
"Hombres (004)",6944,6044,900
"Mujeres (005)",7115,6067,1048
"De 30 a 44 años (006)",13354,12671,683
"Hombres (007)",6780,6577,203
"Mujeres (008)",6574,6094,480
"De 45 a 64 años (009)",8639,8079,560
"Hombres (010)",4605,4457,148
"Mujeres (011)",4034,3622,412
"De 65 y más años (012)",3093,2569,524
"Hombres (013)",1721,1563,158
"Mujeres (014)",1372,1006,366
,,,
"URBANA (015)",20188,19294,894
"Hombres (016)",9941,9563,378
"Mujeres (017)",10247,9731,516
"De 18 a 29 años (018)",6687,6239,448
"Hombres (019)",3138,2899,239
"Mujeres (020)",3549,3340,209
"De 30 a 44 años (021)",7078,6934,144
"Hombres (022)",3404,3351,53
"Mujeres (023)",3674,3583,91
"De 45 a 64 años (024)",4719,4597,122
"Hombres (025)",2457,2420,37
"Mujeres (026)",2262,2177,85
"De 65 y más años (027)",1704,1524,180
"Hombres (028)",942,893,49
"Mujeres (029)",762,631,131
,,,
"RURAL (030)",18957,16136,2821
"Hombres (031)",10109,9078,1031
"Mujeres (032)",8848,7058,1790
"De 18 a 29 años (033)",7372,5872,1500
"Hombres (034)",3806,3145,661
"Mujeres (035)",3566,2727,839
"De 30 a 44 años (036)",6276,5737,539
"Hombres (037)",3376,3226,150
"Mujeres (038)",2900,2511,389
"De 45 a 64 años (039)",3920,3482,438
"Hombres (040)",2148,2037,111
"Mujeres (041)",1772,1445,327
"De 65 y más años (042)",1389,1045,344
"Hombres (043)",779,670,109
"Mujeres (044)",610,375,235
