"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YAROWILCA (000)",29989,5991,919,14552,7218,272,348,252,437
"Jefe o Jefa (001)",8207,1531,7,4002,2043,83,215,88,238
"Esposa(o)/ compa¤era(o) (002)",4670,1352,14,2329,810,25,61,19,60
"Hijo(a)/ hijastro(a) (003)",14079,2369,734,6863,3733,127,49,107,97
"Yerno/ nuera (004)",196,11,,80,87,4,1,3,10
"Nieto(a) (005)",1266,311,108,649,181,7,2,4,4
"Padres/ suegros (006)",239,156,,74,7,1,,1,
"Otro(a) pariente (007)",1102,215,52,469,301,20,10,19,16
"Trabajador(a) del hogar (008)",17,3,,9,4,,1,,
"Pensionista (009)",2,,,1,,,,1,
"Otro(a) no pariente (010)",211,43,4,76,52,5,9,10,12
"Hombres (012)",14419,1957,442,7091,4098,148,221,167,295
"Jefe o Jefa (013)",5626,478,3,2970,1659,65,175,70,206
"Esposa(o)/ compa¤era(o) (014)",243,21,2,130,69,1,5,4,11
"Hijo(a)/ hijastro(a) (015)",7069,1156,352,3313,2025,65,29,72,57
"Yerno/ nuera (016)",70,1,,22,37,1,1,1,7
"Nieto(a) (017)",676,170,52,349,93,5,,4,3
"Padres/ suegros (018)",55,18,,32,3,1,,1,
"Otro(a) pariente (019)",570,99,31,236,173,9,4,11,7
"Trabajador(a) del hogar (020)",10,2,,4,3,,1,,
"Pensionista (021)",1,,,,,,,1,
"Otro(a) no pariente (022)",99,12,2,35,36,1,6,3,4
"Mujeres (024)",15570,4034,477,7461,3120,124,127,85,142
"Jefe o Jefa (025)",2581,1053,4,1032,384,18,40,18,32
"Esposa(o)/ compa¤era(o) (026)",4427,1331,12,2199,741,24,56,15,49
"Hijo(a)/ hijastro(a) (027)",7010,1213,382,3550,1708,62,20,35,40
"Yerno/ nuera (028)",126,10,,58,50,3,,2,3
"Nieto(a) (029)",590,141,56,300,88,2,2,,1
"Padres/ suegros (030)",184,138,,42,4,,,,
"Otro(a) pariente (031)",532,116,21,233,128,11,6,8,9
"Trabajador(a) del hogar (032)",7,1,,5,1,,,,
"Pensionista (033)",1,,,1,,,,,
"Otro(a) no pariente (034)",112,31,2,41,16,4,3,7,8
,,,,,,,,,
"URBANA (036)",7346,1114,215,3058,2243,106,194,143,273
"Jefe o Jefa (037)",2035,224,2,819,660,30,112,42,146
"Esposa(o)/ compa¤era(o) (038)",1120,199,,509,306,16,38,12,40
"Hijo(a)/ hijastro(a) (039)",3346,523,167,1401,1067,46,27,60,55
"Yerno/ nuera (040)",67,5,,16,32,4,1,1,8
"Nieto(a) (041)",257,75,29,108,41,3,,,1
"Padres/ suegros (042)",61,28,,28,3,1,,1,
"Otro(a) pariente (043)",387,52,16,155,124,4,9,16,11
"Trabajador(a) del hogar (044)",5,,,5,,,,,
"Pensionista (045)",1,,,,,,,1,
"Otro(a) no pariente (046)",67,8,1,17,10,2,7,10,12
"Hombres (048)",3606,379,97,1470,1221,54,120,88,177
"Jefe o Jefa (049)",1419,60,,568,515,22,96,33,125
