"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia CALCA",,,,,,
"Viviendas particulares (001)",16264,16018,202,32,10,2
"Ocupantes presentes (002)",64469,62359,1532,382,149,47
"Casa independiente",,,,,,
"Viviendas particulares (004)",14283,14051,195,29,6,2
"Ocupantes presentes (005)",56859,54908,1472,340,92,47
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",22,20,2,,,
"Ocupantes presentes (008)",64,49,15,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",36,34,1,1,,
"Ocupantes presentes (011)",157,130,10,17,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",445,435,4,2,4,
"Ocupantes presentes (014)",1403,1286,35,25,57,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1439,1439,,,,
"Ocupantes presentes (017)",5871,5871,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",18,18,,,,
"Ocupantes presentes (020)",49,49,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",19,19,,,,
"Ocupantes presentes (023)",58,58,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",2,2,,,,
"Ocupantes presentes (026)",8,8,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",5701,5482,175,32,10,2
"Ocupantes presentes (029)",22287,20386,1323,382,149,47
"Casa independiente",,,,,,
"Viviendas particulares (031)",5165,4960,168,29,6,2
"Ocupantes presentes (032)",20570,18828,1263,340,92,47
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",22,20,2,,,
"Ocupantes presentes (035)",64,49,15,,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",36,34,1,1,,
"Ocupantes presentes (038)",157,130,10,17,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",445,435,4,2,4,
"Ocupantes presentes (041)",1403,1286,35,25,57,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",18,18,,,,
"Ocupantes presentes (047)",49,49,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",14,14,,,,
"Ocupantes presentes (050)",41,41,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",1,1,,,,
"Ocupantes presentes (053)",3,3,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",10563,10536,27,,,
"Ocupantes presentes (056)",42182,41973,209,,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",9118,9091,27,,,
"Ocupantes presentes (059)",36289,36080,209,,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1439,1439,,,,
"Ocupantes presentes (071)",5871,5871,,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",5,5,,,,
"Ocupantes presentes (077)",17,17,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",1,1,,,,
"Ocupantes presentes (080)",5,5,,,,
