"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CONDORCANQUI (000)",10367,230,4536,3652,1758,191
"Agric., ganadería, caza y silvicultura (001)",8047,193,3682,2670,1341,161
"Pesca (002)",41,1,14,22,4,
"Explotación de minas y canteras (003)",21,,13,6,2,
"Industrias manufactureras (004)",108,,39,50,18,1
"Suministro de electricidad, gas y agua (005)",1,,1,,,
"Construcción (006)",166,5,72,60,27,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",306,6,113,121,61,5
"Venta, mant.y rep. veh.autom.y motoc. (008)",18,,8,7,3,
"Comercio al por mayor (009)",17,,6,9,2,
"Comercio al por menor (010)",271,6,99,105,56,5
"Hoteles y restaurantes (011)",120,6,46,42,24,2
"Trans., almac. y comunicaciones (012)",119,,46,52,19,2
"Intermediación financiera (013)",2,,,1,1,
"Activid.inmobil., empres. y alquileres (014)",56,,22,17,15,2
"Admin.pub. y defensa; p. segur.soc.afil (015)",181,,68,74,39,
"Enseñanza (016)",684,,164,390,129,1
"Servicios sociales y de salud (017)",114,,50,40,24,
"Otras activ. serv.comun.soc y personales (018)",60,3,22,19,8,8
"Hogares privados con servicio doméstico (019)",125,16,83,15,11,
"Organiz. y organos extraterritoriales (020)",1,,,,,1
"Actividad economica no especificada (021)",215,,101,73,35,6
"Hombres (022)",6023,120,2347,2270,1158,128
"Agric., ganadería, caza y silvicultura (023)",4497,102,1859,1594,832,110
"Pesca (024)",37,1,13,19,4,
"Explotación de minas y canteras (025)",19,,11,6,2,
"Industrias manufactureras (026)",97,,34,45,17,1
"Suministro de electricidad, gas y agua (027)",1,,1,,,
"Construcción (028)",162,4,70,60,26,2
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",193,5,59,80,45,4
"Venta, mant.y rep. veh.autom.y motoc. (030)",18,,8,7,3,
"Comercio al por mayor (031)",10,,4,4,2,
"Comercio al por menor (032)",165,5,47,69,40,4
"Hoteles y restaurantes (033)",26,2,10,5,8,1
"Trans., almac. y comunicaciones (034)",115,,46,49,19,1
"Intermediación financiera (035)",1,,,1,,
"Activid.inmobil., empres. y alquileres (036)",48,,17,14,15,2
"Admin.pub. y defensa; p. segur.soc.afil (037)",158,,54,67,37,
"Enseñanza (038)",470,,91,263,115,1
"Servicios sociales y de salud (039)",84,,34,30,20,
"Otras activ. serv.comun.soc y personales (040)",33,1,14,11,5,2
