"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia EL DORADO (000)",28403,10463,2098,659,15260
"Hombres (001)",15286,5250,1102,349,8632
"Mujeres (002)",13117,5213,996,310,6628
"PEA (003)",13925,3663,1176,396,8738
"Hombres (004)",10060,2460,730,264,6643
"Mujeres (005)",3865,1203,446,132,2095
"Ocupada (006)",13708,3611,1157,383,8603
"Hombres (007)",9889,2427,718,254,6527
"Mujeres (008)",3819,1184,439,129,2076
"Desocupada (009)",217,52,19,13,135
"Hombres (010)",171,33,12,10,116
"Mujeres (011)",46,19,7,3,19
"No PEA (012)",14478,6800,922,263,6522
"Hombres (013)",5226,2790,372,85,1989
"Mujeres (014)",9252,4010,550,178,4533
,,,,,
"URBANA (018)",11362,4076,1408,315,5626
"Hombres (019)",5927,2007,741,173,3042
"Mujeres (020)",5435,2069,667,142,2584
"PEA (021)",5612,1556,745,185,3165
"Hombres (022)",3759,978,457,120,2233
"Mujeres (023)",1853,578,288,65,932
"Ocupada (024)",5510,1529,730,180,3108
"Hombres (025)",3683,960,448,117,2187
"Mujeres (026)",1827,569,282,63,921
"Desocupada (027)",102,27,15,5,57
"Hombres (028)",76,18,9,3,46
"Mujeres (029)",26,9,6,2,11
"No PEA (030)",5750,2520,663,130,2461
"Hombres (031)",2168,1029,284,53,809
"Mujeres (032)",3582,1491,379,77,1652
,,,,,
"RURAL (036)",17041,6387,690,344,9634
"Hombres (037)",9359,3243,361,176,5590
"Mujeres (038)",7682,3144,329,168,4044
"PEA (039)",8313,2107,431,211,5573
"Hombres (040)",6301,1482,273,144,4410
"Mujeres (041)",2012,625,158,67,1163
"Ocupada (042)",8198,2082,427,203,5495
"Hombres (043)",6206,1467,270,137,4340
"Mujeres (044)",1992,615,157,66,1155
"Desocupada (045)",115,25,4,8,78
"Hombres (046)",95,15,3,7,70
"Mujeres (047)",20,10,1,1,8
"No PEA (048)",8728,4280,259,133,4061
"Hombres (049)",3058,1761,88,32,1180
"Mujeres (050)",5670,2519,171,101,2881
