"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia GRAN CHIMU (000)",7463,115,2981,2394,752,271,128,41,4,,777
"Catolica (001)",5095,69,2031,1615,543,186,88,26,3,,534
"Cristiana / Evangelica (002)",1494,31,597,483,127,60,24,11,,,161
"Otra (003)",346,4,129,131,33,11,10,2,,,26
"Ninguna (004)",528,11,224,165,49,14,6,2,1,,56
,,,,,,,,,,,
"URBANA (006)",1849,9,578,621,277,90,39,15,,,220
"Catolica (007)",1399,6,433,458,214,71,32,12,,,173
"Cristiana / Evangelica (008)",286,1,98,103,37,13,4,3,,,27
"Otra (009)",98,2,29,32,16,4,3,,,,12
"Ninguna (010)",66,,18,28,10,2,,,,,8
,,,,,,,,,,,
"RURAL (012)",5614,106,2403,1773,475,181,89,26,4,,557
"Catolica (013)",3696,63,1598,1157,329,115,56,14,3,,361
"Cristiana / Evangelica (014)",1208,30,499,380,90,47,20,8,,,134
"Otra (015)",248,2,100,99,17,7,7,2,,,14
"Ninguna (016)",462,11,206,137,39,12,6,2,1,,48
