"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MARISCAL CACERES (000)",43756,2163,597,22583,14035,1169,1578,593,1038
"Hombres (001)",23342,810,320,11821,7999,621,800,357,614
"Mujeres (002)",20414,1353,277,10762,6036,548,778,236,424
"PEA (003)",20852,825,23,9444,7242,767,1285,410,856
"Hombres (004)",15326,537,14,7235,5474,494,724,287,561
"Mujeres (005)",5526,288,9,2209,1768,273,561,123,295
"Ocupada (006)",20469,812,23,9307,7064,747,1267,407,842
"Hombres (007)",15061,532,14,7136,5350,479,713,285,552
"Mujeres (008)",5408,280,9,2171,1714,268,554,122,290
"Desocupada (009)",383,13,,137,178,20,18,3,14
"Hombres (010)",265,5,,99,124,15,11,2,9
"Mujeres (011)",118,8,,38,54,5,7,1,5
"No PEA (012)",22904,1338,574,13139,6793,402,293,183,182
"Hombres (013)",8016,273,306,4586,2525,127,76,70,53
"Mujeres (014)",14888,1065,268,8553,4268,275,217,113,129
,,,,,,,,,
"URBANA (018)",27569,820,330,11960,10463,1052,1438,522,984
"Hombres (019)",14132,275,176,5851,5689,553,708,307,573
"Mujeres (020)",13437,545,154,6109,4774,499,730,215,411
"PEA (021)",13148,295,16,4571,5247,681,1166,359,813
"Hombres (022)",8961,156,10,3209,3750,431,639,242,524
"Mujeres (023)",4187,139,6,1362,1497,250,527,117,289
"Ocupada (024)",12879,290,16,4496,5107,664,1151,356,799
"Hombres (025)",8779,154,10,3159,3653,419,629,240,515
"Mujeres (026)",4100,136,6,1337,1454,245,522,116,284
"Desocupada (027)",269,5,,75,140,17,15,3,14
"Hombres (028)",182,2,,50,97,12,10,2,9
"Mujeres (029)",87,3,,25,43,5,5,1,5
"No PEA (030)",14421,525,314,7389,5216,371,272,163,171
"Hombres (031)",5171,119,166,2642,1939,122,69,65,49
"Mujeres (032)",9250,406,148,4747,3277,249,203,98,122
,,,,,,,,,
"RURAL (036)",16187,1343,267,10623,3572,117,140,71,54
"Hombres (037)",9210,535,144,5970,2310,68,92,50,41
"Mujeres (038)",6977,808,123,4653,1262,49,48,21,13
"PEA (039)",7704,530,7,4873,1995,86,119,51,43
"Hombres (040)",6365,381,4,4026,1724,63,85,45,37
"Mujeres (041)",1339,149,3,847,271,23,34,6,6
"Ocupada (042)",7590,522,7,4811,1957,83,116,51,43
"Hombres (043)",6282,378,4,3977,1697,60,84,45,37
"Mujeres (044)",1308,144,3,834,260,23,32,6,6
"Desocupada (045)",114,8,,62,38,3,3,,
"Hombres (046)",83,3,,49,27,3,1,,
"Mujeres (047)",31,5,,13,11,,2,,
"No PEA (048)",8483,813,260,5750,1577,31,21,20,11
"Hombres (049)",2845,154,140,1944,586,5,7,5,4
"Mujeres (050)",5638,659,120,3806,991,26,14,15,7
