"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AIJA (000)",167,31,136
"Sin nivel (001)",7,1,6
"Primaria (003)",58,9,49
"Secundaria (004)",63,17,46
"Superior no univ. incompleta (005)",12,2,10
"Superior no univ. completa (006)",17,2,15
"Superior univ. incompleta (007)",5,,5
"Superior univ. completa (008)",5,,5
"De 14 a 29 años (010)",78,20,58
"Sin nivel (011)",2,,2
"Primaria (013)",17,5,12
"Secundaria (014)",39,12,27
"Superior no univ. incompleta (015)",7,2,5
"Superior no univ. completa (016)",8,1,7
"Superior univ. incompleta (017)",3,,3
"Superior univ. completa (018)",2,,2
"De 30 a 44 años (020)",50,9,41
"Sin nivel (021)",3,1,2
"Primaria (023)",17,3,14
"Secundaria (024)",19,4,15
"Superior no univ. incompleta (025)",4,,4
"Superior no univ. completa (026)",6,1,5
"Superior univ. incompleta (027)",1,,1
"De 45 a 64 años (030)",28,2,26
"Sin nivel (031)",2,,2
"Primaria (033)",16,1,15
"Secundaria (034)",4,1,3
"Superior no univ. incompleta (035)",1,,1
"Superior no univ. completa (036)",2,,2
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",2,,2
"De 65 y más años (040)",11,,11
"Primaria (043)",8,,8
"Secundaria (044)",1,,1
"Superior no univ. completa (046)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",47,7,40
"Primaria (053)",14,1,13
"Secundaria (054)",19,4,15
"Superior no univ. incompleta (055)",2,1,1
"Superior no univ. completa (056)",7,1,6
"Superior univ. incompleta (057)",1,,1
"Superior univ. completa (058)",4,,4
"De 14 a 29 años (060)",22,7,15
"Primaria (063)",4,1,3
"Secundaria (064)",12,4,8
"Superior no univ. incompleta (065)",1,1,
"Superior no univ. completa (066)",3,1,2
"Superior univ. incompleta (067)",1,,1
"Superior univ. completa (068)",1,,1
"De 30 a 44 años (070)",13,,13
"Primaria (073)",3,,3
"Secundaria (074)",6,,6
"Superior no univ. incompleta (075)",1,,1
"Superior no univ. completa (076)",3,,3
"De 45 a 64 años (080)",6,,6
"Primaria (083)",2,,2
"Secundaria (084)",1,,1
"Superior no univ. completa (086)",1,,1
"Superior univ. completa (088)",2,,2
"De 65 y más años (090)",6,,6
"Primaria (093)",5,,5
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",120,24,96
"Sin nivel (101)",7,1,6
"Primaria (103)",44,8,36
"Secundaria (104)",44,13,31
"Superior no univ. incompleta (105)",10,1,9
"Superior no univ. completa (106)",10,1,9
"Superior univ. incompleta (107)",4,,4
"Superior univ. completa (108)",1,,1
"De 14 a 29 años (110)",56,13,43
"Sin nivel (111)",2,,2
"Primaria (113)",13,4,9
"Secundaria (114)",27,8,19
"Superior no univ. incompleta (115)",6,1,5
"Superior no univ. completa (116)",5,,5
"Superior univ. incompleta (117)",2,,2
"Superior univ. completa (118)",1,,1
"De 30 a 44 años (120)",37,9,28
"Sin nivel (121)",3,1,2
"Primaria (123)",14,3,11
"Secundaria (124)",13,4,9
"Superior no univ. incompleta (125)",3,,3
"Superior no univ. completa (126)",3,1,2
"Superior univ. incompleta (127)",1,,1
"De 45 a 64 años (130)",22,2,20
"Sin nivel (131)",2,,2
"Primaria (133)",14,1,13
"Secundaria (134)",3,1,2
"Superior no univ. incompleta (135)",1,,1
"Superior no univ. completa (136)",1,,1
"Superior univ. incompleta (137)",1,,1
"De 65 y más años (140)",5,,5
"Primaria (143)",3,,3
"Secundaria (144)",1,,1
"Superior no univ. completa (146)",1,,1
