"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia HUAMANGA (000)",109551,15184,31191,26562,36614
"Asiste actualmente (001)",78697,5872,29805,24378,18642
"No asiste (002)",30854,9312,1386,2184,17972
"Hombres (004)",54878,7780,15866,13129,18103
"Asiste actualmente (005)",39820,3000,15145,12185,9490
"No asiste (006)",15058,4780,721,944,8613
"Mujeres (008)",54673,7404,15325,13433,18511
"Asiste actualmente (009)",38877,2872,14660,12193,9152
"No asiste (010)",15796,4532,665,1240,9359
,,,,,
"URBANA (012)",79435,10098,21391,19194,28752
"Asiste actualmente (013)",59955,4433,20681,18156,16685
"No asiste (014)",19480,5665,710,1038,12067
"Hombres (016)",39588,5151,10849,9403,14185
"Asiste actualmente (017)",29965,2227,10477,8904,8357
"No asiste (018)",9623,2924,372,499,5828
"Mujeres (020)",39847,4947,10542,9791,14567
"Asiste actualmente (021)",29990,2206,10204,9252,8328
"No asiste (022)",9857,2741,338,539,6239
,,,,,
"RURAL (024)",30116,5086,9800,7368,7862
"Asiste actualmente (025)",18742,1439,9124,6222,1957
"No asiste (026)",11374,3647,676,1146,5905
"Hombres (028)",15290,2629,5017,3726,3918
"Asiste actualmente (029)",9855,773,4668,3281,1133
"No asiste (030)",5435,1856,349,445,2785
"Mujeres (032)",14826,2457,4783,3642,3944
"Asiste actualmente (033)",8887,666,4456,2941,824
"No asiste (034)",5939,1791,327,701,3120
