"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHINCHA (000)",75531,172184,162326,,3584,94.3,2.1
"De 12 a 14 años (001)",5920,18,16,,3,88.9,16.7
"De 15 a 19 años (002)",9286,1401,1388,415,99.1,29.6,
"De 20 a 24 años (003)",9163,6536,6454,921,98.7,14.1,
"De 25 a 29 años (004)",8233,11553,11384,886,98.5,7.7,
"De 30 a 34 años (005)",7899,16271,15980,741,98.2,4.6,
"De 35 a 39 años (006)",6951,18427,17887,457,97.1,2.5,
"De 40 a 44 años (007)",5966,18203,17551,145,96.4,0.8,
"De 45 a 49 años (008)",4940,17432,16697,16,95.8,0.1,
"De 50 y más años (009)",17173,82343,74969,,91,,
"PEA (010)",27545,59098,56356,1013,95.4,1.7,
"De 12 a 14 años (011)",185,3,3,,100,,
"De 15 a 19 años (012)",1714,269,269,52,100,19.3,
"De 20 a 24 años (013)",3843,2108,2079,203,98.6,9.6,
"De 25 a 29 años (014)",4057,4656,4596,253,98.7,5.4,
"De 30 a 34 años (015)",3981,7284,7143,237,98.1,3.3,
"De 35 a 39 años (016)",3708,9115,8827,201,96.8,2.2,
"De 40 a 44 años (017)",3130,8794,8487,59,96.5,0.7,
"De 45 a 49 años (018)",2363,7806,7464,8,95.6,0.1,
"De 50 y más años (019)",4564,19063,17488,,91.7,,
"Ocupada (020)",26386,57614,54899,960,95.3,1.7,
"De 12 a 14 años (021)",176,3,3,,100,,
"De 15 a 19 años (022)",1522,239,239,45,100,18.8,
"De 20 a 24 años (023)",3534,1983,1954,189,98.5,9.5,
"De 25 a 29 años (024)",3840,4470,4412,232,98.7,5.2,
"De 30 a 34 años (025)",3849,7081,6946,233,98.1,3.3,
"De 35 a 39 años (026)",3625,8929,8643,197,96.8,2.2,
"De 40 a 44 años (027)",3042,8532,8230,56,96.5,0.7,
"De 45 a 49 años (028)",2309,7623,7287,8,95.6,0.1,
"De 50 y más años (029)",4489,18754,17185,,91.6,,
"Desocupada (030)",1159,1484,1457,53,98.2,3.6,
"De 12 a 14 años (031)",9,,,,,,
"De 15 a 19 años (032)",192,30,30,7,100,23.3,
"De 20 a 24 años (033)",309,125,125,14,100,11.2,
"De 25 a 29 años (034)",217,186,184,21,98.9,11.3,
"De 30 a 34 años (035)",132,203,197,4,97,2,
