"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LA MAR (000)",71198,28005,3541,1054,38646
"Hombres (001)",36751,13403,1880,689,20808
"Mujeres (002)",34447,14602,1661,365,17838
"PEA (003)",27806,6474,1761,548,19050
"Hombres (004)",20124,4593,1126,434,13992
"Mujeres (005)",7682,1881,635,114,5058
"Ocupada (006)",26558,6139,1684,535,18227
"Hombres (007)",19228,4378,1075,422,13374
"Mujeres (008)",7330,1761,609,113,4853
"Desocupada (009)",1248,335,77,13,823
"Hombres (010)",896,215,51,12,618
"Mujeres (011)",352,120,26,1,205
"No PEA (012)",43392,21531,1780,506,19596
"Hombres (013)",16627,8810,754,255,6816
"Mujeres (014)",26765,12721,1026,251,12780
,,,,,
"URBANA (018)",29569,7804,2220,546,19019
"Hombres (019)",15139,3655,1180,335,9984
"Mujeres (020)",14430,4149,1040,211,9035
"PEA (021)",12949,1866,1180,310,9608
"Hombres (022)",8463,1138,705,235,6398
"Mujeres (023)",4486,728,475,75,3210
"Ocupada (024)",12204,1723,1150,301,9045
"Hombres (025)",7964,1062,684,227,6004
"Mujeres (026)",4240,661,466,74,3041
"Desocupada (027)",745,143,30,9,563
"Hombres (028)",499,76,21,8,394
"Mujeres (029)",246,67,9,1,169
"No PEA (030)",16620,5938,1040,236,9411
"Hombres (031)",6676,2517,475,100,3586
"Mujeres (032)",9944,3421,565,136,5825
,,,,,
"RURAL (036)",41629,20201,1321,508,19627
"Hombres (037)",21612,9748,700,354,10824
"Mujeres (038)",20017,10453,621,154,8803
"PEA (039)",14857,4608,581,238,9442
"Hombres (040)",11661,3455,421,199,7594
"Mujeres (041)",3196,1153,160,39,1848
"Ocupada (042)",14354,4416,534,234,9182
"Hombres (043)",11264,3316,391,195,7370
"Mujeres (044)",3090,1100,143,39,1812
"Desocupada (045)",503,192,47,4,260
"Hombres (046)",397,139,30,4,224
"Mujeres (047)",106,53,17,,36
"No PEA (048)",26772,15593,740,270,10185
"Hombres (049)",9951,6293,279,155,3230
"Mujeres (050)",16821,9300,461,115,6955
