"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia BELLAVISTA (000)",12039,428,6413,2944,724,267,124,43,4,,1092
"Sin Nivel (001)",1499,71,748,366,84,40,19,12,,,159
"Educación Inicial (002)",22,,18,4,,,,,,,
"Primaria (003)",6775,315,3992,1452,288,104,63,21,3,,537
"Secundaria (004)",2828,39,1488,781,175,57,17,6,1,,264
"Sup. no Univ. Incompleta (005)",258,1,64,102,32,11,4,1,,,43
"Sup. no Univ. Completa (006)",410,2,64,148,101,31,12,2,,,50
"Sup. Univ. Incompleta (007)",64,,16,22,9,4,1,,,,12
"Sup. Univ. Completa (008)",183,,23,69,35,20,8,1,,,27
,,,,,,,,,,,
"URBANA (010)",6996,215,3543,1841,473,191,95,33,3,,602
"Sin Nivel (011)",599,25,292,142,31,20,10,9,,,70
"Educación Inicial (012)",12,,11,1,,,,,,,
"Primaria (013)",3558,158,2034,830,159,69,44,14,2,,248
"Secundaria (014)",2025,29,1053,576,133,41,16,6,1,,170
"Sup. no Univ. Incompleta (015)",222,1,56,85,26,9,4,1,,,40
"Sup. no Univ. Completa (016)",361,2,60,124,89,30,12,2,,,42
"Sup. Univ. Incompleta (017)",57,,16,18,6,4,1,,,,12
"Sup. Univ. Completa (018)",162,,21,65,29,18,8,1,,,20
,,,,,,,,,,,
"RURAL (020)",5043,213,2870,1103,251,76,29,10,1,,490
"Sin Nivel (021)",900,46,456,224,53,20,9,3,,,89
"Educación Inicial (022)",10,,7,3,,,,,,,
"Primaria (023)",3217,157,1958,622,129,35,19,7,1,,289
"Secundaria (024)",803,10,435,205,42,16,1,,,,94
"Sup. no Univ. Incompleta (025)",36,,8,17,6,2,,,,,3
"Sup. no Univ. Completa (026)",49,,4,24,12,1,,,,,8
"Sup. Univ. Incompleta (027)",7,,,4,3,,,,,,
"Sup. Univ. Completa (028)",21,,2,4,6,2,,,,,7
