"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CUTERVO (000)",34094,173,631,1634,3632,7307,13475,7242
"De 12 a 14 años (001)",65,,,,,,6,59
"De 15 a 19 años (002)",1143,,,,,,715,428
"De 20 a 24 años (003)",3747,,,,,15,2431,1301
"De 25 a 29 años (004)",4466,,,,,257,3036,1173
"De 30 a 34 años (005)",4206,,,,3,745,2716,742
"De 35 a 39 años (006)",4135,,,,39,1246,2235,615
"De 40 a 44 años (007)",3469,,,,155,1356,1406,552
"De 45 a 49 años (008)",2985,,,16,363,1453,763,390
"De 50 y más años (009)",9878,173,631,1618,3072,2235,167,1982
"PEA (010)",6043,2,36,178,551,1480,2104,1692
"De 12 a 14 años (011)",7,,,,,,,7
"De 15 a 19 años (012)",131,,,,,,68,63
"De 20 a 24 años (013)",587,,,,,3,299,285
"De 25 a 29 años (014)",855,,,,,48,470,337
"De 30 a 34 años (015)",869,,,,2,166,470,231
"De 35 a 39 años (016)",933,,,,11,313,413,196
"De 40 a 44 años (017)",767,,,,45,302,256,164
"De 45 a 49 años (018)",615,,,3,83,308,106,115
"De 50 y más años (019)",1279,2,36,175,410,340,22,294
"Ocupada (020)",5836,2,36,177,545,1462,2037,1577
"De 12 a 14 años (021)",6,,,,,,,6
"De 15 a 19 años (022)",119,,,,,,61,58
"De 20 a 24 años (023)",535,,,,,2,285,248
"De 25 a 29 años (024)",803,,,,,46,447,310
"De 30 a 34 años (025)",834,,,,2,158,456,218
"De 35 a 39 años (026)",910,,,,11,311,409,179
"De 40 a 44 años (027)",748,,,,42,300,251,155
"De 45 a 49 años (028)",612,,,3,83,306,106,114
"De 50 y más años (029)",1269,2,36,174,407,339,22,289
"Desocupada (030)",207,,,1,6,18,67,115
"De 12 a 14 años (031)",1,,,,,,,1
"De 15 a 19 años (032)",12,,,,,,7,5
"De 20 a 24 años (033)",52,,,,,1,14,37
"De 25 a 29 años (034)",52,,,,,2,23,27
"De 30 a 34 años (035)",35,,,,,8,14,13
"De 35 a 39 años (036)",23,,,,,2,4,17
"De 40 a 44 años (037)",19,,,,3,2,5,9
"De 45 a 49 años (038)",3,,,,,2,,1
"De 50 y más años (039)",10,,,1,3,1,,5
"No PEA (040)",28051,171,595,1456,3081,5827,11371,5550
"De 12 a 14 años (041)",58,,,,,,6,52
"De 15 a 19 años (042)",1012,,,,,,647,365
"De 20 a 24 años (043)",3160,,,,,12,2132,1016
"De 25 a 29 años (044)",3611,,,,,209,2566,836
"De 30 a 34 años (045)",3337,,,,1,579,2246,511
"De 35 a 39 años (046)",3202,,,,28,933,1822,419
