"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia LAURICOCHA (000)",30321,14924,3048,324,12132
"Hombres (001)",15735,6992,2128,236,6473
"Mujeres (002)",14586,7932,920,88,5659
"PEA (003)",9831,2905,1983,206,4825
"Hombres (004)",7440,1971,1667,181,3705
"Mujeres (005)",2391,934,316,25,1120
"Ocupada (006)",9358,2774,1955,204,4513
"Hombres (007)",7062,1868,1644,179,3455
"Mujeres (008)",2296,906,311,25,1058
"Desocupada (009)",473,131,28,2,312
"Hombres (010)",378,103,23,2,250
"Mujeres (011)",95,28,5,,62
"No PEA (012)",20490,12019,1065,118,7307
"Hombres (013)",8295,5021,461,55,2768
"Mujeres (014)",12195,6998,604,63,4539
,,,,,
"URBANA (018)",6927,3176,1149,120,2496
"Hombres (019)",3414,1463,615,71,1276
"Mujeres (020)",3513,1713,534,49,1220
"PEA (021)",2301,721,518,52,1018
"Hombres (022)",1497,430,329,42,703
"Mujeres (023)",804,291,189,10,315
"Ocupada (024)",2146,671,500,52,931
"Hombres (025)",1372,392,315,42,630
"Mujeres (026)",774,279,185,10,301
"Desocupada (027)",155,50,18,,87
"Hombres (028)",125,38,14,,73
"Mujeres (029)",30,12,4,,14
"No PEA (030)",4626,2455,631,68,1478
"Hombres (031)",1917,1033,286,29,573
"Mujeres (032)",2709,1422,345,39,905
,,,,,
"RURAL (036)",23394,11748,1899,204,9636
"Hombres (037)",12321,5529,1513,165,5197
"Mujeres (038)",11073,6219,386,39,4439
"PEA (039)",7530,2184,1465,154,3807
"Hombres (040)",5943,1541,1338,139,3002
"Mujeres (041)",1587,643,127,15,805
"Ocupada (042)",7212,2103,1455,152,3582
"Hombres (043)",5690,1476,1329,137,2825
"Mujeres (044)",1522,627,126,15,757
"Desocupada (045)",318,81,10,2,225
"Hombres (046)",253,65,9,2,177
"Mujeres (047)",65,16,1,,48
"No PEA (048)",15864,9564,434,50,5829
"Hombres (049)",6378,3988,175,26,2195
"Mujeres (050)",9486,5576,259,24,3634
