"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia MARISCAL RAMON CASTILLA (000)",1034,49,606,243,111,25
"Conviviente (001)",372,1,192,129,40,10
"Separado(a) (002)",19,,5,8,6,
"Casado(a) (003)",139,,29,56,46,8
"Viudo(a) (004)",16,,1,4,6,5
"Divorciado(a) (005)",3,,1,1,1,
"Soltero(a) (006)",485,48,378,45,12,2
"Hombres (008)",827,30,474,200,101,22
"Conviviente (009)",290,,140,104,37,9
"Separado(a) (010)",17,,4,8,5,
"Casado(a) (011)",121,,28,45,41,7
"Viudo(a) (012)",15,,1,4,6,4
"Divorciado(a) (013)",3,,1,1,1,
"Soltero(a) (014)",381,30,300,38,11,2
"Mujeres (016)",207,19,132,43,10,3
"Conviviente (017)",82,1,52,25,3,1
"Separado(a) (018)",2,,1,,1,
"Casado(a) (019)",18,,1,11,5,1
"Viudo(a) (020)",1,,,,,1
"Soltero(a) (022)",104,18,78,7,1,
,,,,,,
"AREA URBANA (024)",504,16,297,119,61,11
"Conviviente (025)",197,,103,65,24,5
"Separado(a) (026)",11,,5,3,3,
"Casado(a) (027)",61,,6,26,25,4
"Viudo(a) (028)",3,,,,2,1
"Divorciado(a) (029)",2,,1,1,,
"Soltero(a) (030)",230,16,182,24,7,1
"Hombres (032)",387,10,223,93,52,9
"Conviviente (033)",147,,70,52,21,4
"Separado(a) (034)",9,,4,3,2,
"Casado(a) (035)",47,,5,18,21,3
"Viudo(a) (036)",3,,,,2,1
"Divorciado(a) (037)",2,,1,1,,
"Soltero(a) (038)",179,10,143,19,6,1
"Mujeres (040)",117,6,74,26,9,2
"Conviviente (041)",50,,33,13,3,1
"Separado(a) (042)",2,,1,,1,
"Casado(a) (043)",14,,1,8,4,1
"Soltero(a) (046)",51,6,39,5,1,
,,,,,,
"AREA RURAL (048)",530,33,309,124,50,14
"Conviviente (049)",175,1,89,64,16,5
"Separado(a) (050)",8,,,5,3,
"Casado(a) (051)",78,,23,30,21,4
"Viudo(a) (052)",13,,1,4,4,4
"Divorciado(a) (053)",1,,,,1,
"Soltero(a) (054)",255,32,196,21,5,1
"Hombres (056)",440,20,251,107,49,13
"Conviviente (057)",143,,70,52,16,5
"Separado(a) (058)",8,,,5,3,
"Casado(a) (059)",74,,23,27,20,4
"Viudo(a) (060)",12,,1,4,4,3
"Divorciado(a) (061)",1,,,,1,
"Soltero(a) (062)",202,20,157,19,5,1
"Mujeres (064)",90,13,58,17,1,1
"Conviviente (065)",32,1,19,12,,
"Casado(a) (067)",4,,,3,1,
"Viudo(a) (068)",1,,,,,1
"Soltero(a) (070)",53,12,39,2,,
