"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CONDESUYOS (000)",16110,2566,394,5800,4770,788,932,324,536
"Jefe o Jefa (001)",5484,723,1,1828,1723,288,468,140,313
"Esposa(o)/ compa¤era(o) (002)",2741,622,3,949,740,162,146,39,80
"Hijo(a)/ hijastro(a) (003)",5793,812,325,2347,1723,244,178,85,79
"Yerno/ nuera (004)",163,8,,26,61,24,26,10,8
"Nieto(a) (005)",499,140,40,194,92,12,12,9,
"Padres/ suegros (006)",239,142,,77,13,1,3,2,1
"Otro(a) pariente (007)",858,100,19,294,300,43,59,21,22
"Trabajador(a) del hogar (008)",17,1,,7,5,1,2,1,
"Pensionista (009)",8,,,3,4,,1,,
"Otro(a) no pariente (010)",308,18,6,75,109,13,37,17,33
"Hombres (012)",8278,809,187,2913,2896,420,502,222,329
"Jefe o Jefa (013)",3944,266,1,1317,1437,230,331,125,237
"Esposa(o)/ compa¤era(o) (014)",217,15,,65,96,7,19,6,9
"Hijo(a)/ hijastro(a) (015)",3005,381,153,1196,962,132,82,52,47
"Yerno/ nuera (016)",65,5,,8,30,8,8,2,4
"Nieto(a) (017)",257,75,21,94,50,7,4,6,
"Padres/ suegros (018)",60,22,,25,8,1,2,2,
"Otro(a) pariente (019)",524,37,11,149,226,28,38,17,18
"Trabajador(a) del hogar (020)",6,1,,3,,,2,,
"Pensionista (021)",7,,,2,4,,1,,
"Otro(a) no pariente (022)",193,7,1,54,83,7,15,12,14
"Mujeres (024)",7832,1757,207,2887,1874,368,430,102,207
"Jefe o Jefa (025)",1540,457,,511,286,58,137,15,76
"Esposa(o)/ compa¤era(o) (026)",2524,607,3,884,644,155,127,33,71
"Hijo(a)/ hijastro(a) (027)",2788,431,172,1151,761,112,96,33,32
"Yerno/ nuera (028)",98,3,,18,31,16,18,8,4
"Nieto(a) (029)",242,65,19,100,42,5,8,3,
"Padres/ suegros (030)",179,120,,52,5,,1,,1
"Otro(a) pariente (031)",334,63,8,145,74,15,21,4,4
"Trabajador(a) del hogar (032)",11,,,4,5,1,,1,
"Pensionista (033)",1,,,1,,,,,
"Otro(a) no pariente (034)",115,11,5,21,26,6,22,5,19
,,,,,,,,,
"URBANA (036)",7144,842,216,2207,2219,477,640,183,360
"Jefe o Jefa (037)",2445,226,,636,809,179,334,63,198
"Esposa(o)/ compa¤era(o) (038)",1162,184,1,359,327,93,107,26,65
"Hijo(a)/ hijastro(a) (039)",2597,274,176,926,845,148,116,58,54
"Yerno/ nuera (040)",66,1,,6,17,13,19,5,5
"Nieto(a) (041)",192,47,24,67,34,7,9,4,
"Padres/ suegros (042)",126,70,,38,11,1,3,2,1
"Otro(a) pariente (043)",397,32,9,141,127,27,28,17,16
"Trabajador(a) del hogar (044)",10,,,5,2,,2,1,
"Pensionista (045)",3,,,1,2,,,,
"Otro(a) no pariente (046)",146,8,6,28,45,9,22,7,21
"Hombres (048)",3613,281,113,1064,1279,234,330,110,202
"Jefe o Jefa (049)",1689,84,,417,642,128,228,50,140
