"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia OCROS (000)",7138,804,1127,1261,1040,985,1921
"Católica (001)",6022,692,971,1073,887,837,1562
"Cristiana/Evangélica (002)",976,95,138,157,131,128,327
"Otra (003)",66,4,2,14,10,14,22
"Ninguna (004)",74,13,16,17,12,6,10
"Hombres (006)",3739,424,619,674,535,526,961
"Católica (007)",3205,361,543,578,459,462,802
"Cristiana/Evangélica (008)",451,52,61,78,64,53,143
"Otra (009)",30,2,1,7,3,7,10
"Ninguna (010)",53,9,14,11,9,4,6
"Mujeres (012)",3399,380,508,587,505,459,960
"Católica (013)",2817,331,428,495,428,375,760
"Cristiana/Evangélica (014)",525,43,77,79,67,75,184
"Otra (015)",36,2,1,7,7,7,12
"Ninguna (016)",21,4,2,6,3,2,4
,,,,,,,
"URBANA (018)",4175,428,616,730,615,576,1210
"Católica (019)",3519,359,537,622,532,492,977
"Cristiana/Evangélica (020)",583,60,71,92,75,71,214
"Otra (021)",42,4,2,8,5,9,14
"Ninguna (022)",31,5,6,8,3,4,5
"Hombres (024)",2152,219,344,389,302,313,585
"Católica (025)",1838,176,302,332,261,278,489
"Cristiana/Evangélica (026)",279,37,37,49,38,29,89
"Otra (027)",16,2,1,3,1,4,5
"Ninguna (028)",19,4,4,5,2,2,2
"Mujeres (030)",2023,209,272,341,313,263,625
"Católica (031)",1681,183,235,290,271,214,488
"Cristiana/Evangélica (032)",304,23,34,43,37,42,125
"Otra (033)",26,2,1,5,4,5,9
"Ninguna (034)",12,1,2,3,1,2,3
,,,,,,,
"RURAL (036)",2963,376,511,531,425,409,711
"Católica (037)",2503,333,434,451,355,345,585
"Cristiana/Evangélica (038)",393,35,67,65,56,57,113
"Otra (039)",24,,,6,5,5,8
"Ninguna (040)",43,8,10,9,9,2,5
"Hombres (042)",1587,205,275,285,233,213,376
"Católica (043)",1367,185,241,246,198,184,313
"Cristiana/Evangélica (044)",172,15,24,29,26,24,54
"Otra (045)",14,,,4,2,3,5
"Ninguna (046)",34,5,10,6,7,2,4
"Mujeres (048)",1376,171,236,246,192,196,335
"Católica (049)",1136,148,193,205,157,161,272
"Cristiana/Evangélica (050)",221,20,43,36,30,33,59
"Otra (051)",10,,,2,3,2,3
"Ninguna (052)",9,3,,3,2,,1
