"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",11948,74,3765,4481,1342,387,154,65,11,,1669
"Conviviente (001)",5333,27,1834,2036,552,137,31,12,3,,701
"Separado(a) (002)",607,8,202,221,77,25,9,4,1,,60
"Casado(a) (003)",4237,27,1365,1707,529,150,88,28,3,,340
"Viudo(a) (004)",999,7,265,372,147,62,20,17,3,,106
"Divorciado(a) (005)",63,1,17,31,6,,,,,,8
"Soltero(a) (006)",709,4,82,114,31,13,6,4,1,,454
,,,,,,,,,,,
"URBANA (008)",7851,54,2480,2892,828,243,88,31,8,,1227
"Conviviente (009)",3896,23,1318,1487,396,99,18,6,3,,546
"Separado(a) (010)",404,7,136,151,47,14,3,1,1,,44
"Casado(a) (011)",2559,15,836,996,296,88,51,15,3,,259
"Viudo(a) (012)",492,6,135,170,63,36,12,7,,,63
"Divorciado(a) (013)",40,,12,15,6,,,,,,7
"Soltero(a) (014)",460,3,43,73,20,6,4,2,1,,308
,,,,,,,,,,,
"RURAL (016)",4097,20,1285,1589,514,144,66,34,3,,442
"Conviviente (017)",1437,4,516,549,156,38,13,6,,,155
"Separado(a) (018)",203,1,66,70,30,11,6,3,,,16
"Casado(a) (019)",1678,12,529,711,233,62,37,13,,,81
"Viudo(a) (020)",507,1,130,202,84,26,8,10,3,,43
"Divorciado(a) (021)",23,1,5,16,,,,,,,1
"Soltero(a) (022)",249,1,39,41,11,7,2,2,,,146
