"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia AZANGARO (000)",119679,30976,34912,22560,19817,11414
"Sin nivel (001)",15244,590,441,1515,5712,6986
"Educación inicial (002)",1513,1445,44,24,,
"Primaria (003)",53597,22857,6589,10310,9895,3946
"Secundaria (004)",38445,6084,21871,7439,2721,330
"Superior no univ. incompleta (005)",3373,,2479,655,215,24
"Superior no univ. completa (006)",3488,,1321,1509,596,62
"Superior univ. incompleta (007)",1989,,1575,278,132,4
"Superior univ. completa (008)",2030,,592,830,546,62
"PEA (010)",43712,642,13439,13920,11487,4224
"Sin nivel (011)",5062,29,160,627,2274,1972
"Educación inicial (012)",24,2,10,12,,
"Primaria (013)",17649,427,3338,5831,6017,2036
"Secundaria (014)",15019,184,7910,4840,1922,163
"Superior no univ. incompleta (015)",1213,,566,480,161,6
"Superior no univ. completa (016)",2561,,813,1218,509,21
"Superior univ. incompleta (017)",568,,256,204,106,2
"Superior univ. completa (018)",1616,,386,708,498,24
"Ocupada (020)",39030,584,10831,12628,10909,4078
"Sin nivel (021)",4861,20,145,577,2202,1917
"Educación inicial (022)",17,2,6,9,,
"Primaria (023)",16542,401,3019,5470,5692,1960
"Secundaria (024)",12431,161,6107,4237,1773,153
"Superior no univ. incompleta (025)",1020,,450,417,148,5
"Superior no univ. completa (026)",2206,,592,1096,499,19
"Superior univ. incompleta (027)",505,,217,181,105,2
"Superior univ. completa (028)",1448,,295,641,490,22
