"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PADRE ABAD (000)",48740,1266,16611,13820,10179,5448,1416
"Casa independiente (001)",37535,962,12836,10669,7890,4116,1062
"Departamento en edificio (002)",275,2,73,91,74,31,4
"Vivienda en quinta (003)",1284,34,362,481,277,103,27
"Vivienda en casa de vecindad (004)",370,6,139,90,83,43,9
"Choza o cabaña (005)",8939,253,3078,2397,1787,1122,302
"Vivienda improvisada (006)",223,7,93,57,36,21,9
"Local no destinado para hab.humana (007)",88,1,25,29,24,7,2
"Otro tipo (008)",26,1,5,6,8,5,1
,,,,,,,
"URBANA (009)",24907,591,8286,7346,5414,2619,651
"Casa independiente (010)",22673,541,7595,6602,4924,2411,600
"Departamento en edificio (011)",275,2,73,91,74,31,4
"Vivienda en quinta (012)",1284,34,362,481,277,103,27
"Vivienda en casa de vecindad (013)",370,6,139,90,83,43,9
"Vivienda improvisada (015)",223,7,93,57,36,21,9
"Local no destinado para hab.humana (016)",63,,20,20,16,6,1
"Otro tipo (017)",19,1,4,5,4,4,1
,,,,,,,
"RURAL (018)",23833,675,8325,6474,4765,2829,765
"Casa independiente (019)",14862,421,5241,4067,2966,1705,462
"Choza o cabaña (023)",8939,253,3078,2397,1787,1122,302
"Local no destinado para hab.humana (025)",25,1,5,9,8,1,1
"Otro tipo (026)",7,,1,1,4,1,
