"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TALARA (000)",49736,47345,14057,7507,7972,6317,6514,2711,2267,2391
"Católica (001)",41026,38998,11561,6340,6741,5190,5258,2118,1790,2028
"Cristiana/Evangélica (002)",6728,6464,1865,858,945,892,1027,483,394,264
"Otra (003)",1399,1327,424,188,192,175,183,90,75,72
"Ninguna (004)",583,556,207,121,94,60,46,20,8,27
,,,,,,,,,,
"URBANA (006)",48881,46534,13795,7373,7828,6226,6430,2664,2218,2347
"Católica (007)",40306,38315,11353,6221,6610,5109,5193,2080,1749,1991
"Cristiana/Evangélica (008)",6628,6371,1825,849,937,885,1012,476,387,257
"Otra (009)",1387,1315,420,186,192,174,180,89,74,72
"Ninguna (010)",560,533,197,117,89,58,45,19,8,27
,,,,,,,,,,
"RURAL (012)",855,811,262,134,144,91,84,47,49,44
"Católica (013)",720,683,208,119,131,81,65,38,41,37
"Cristiana/Evangélica (014)",100,93,40,9,8,7,15,7,7,7
"Otra (015)",12,12,4,2,,1,3,1,1,
"Ninguna (016)",23,23,10,4,5,2,1,1,,
