"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ATALAYA (000)",34809,5694,518,17347,8612,754,869,343,672
"Hombres (001)",18409,2464,247,8890,5128,469,544,232,435
"Mujeres (002)",16400,3230,271,8457,3484,285,325,111,237
"PEA (003)",13646,2430,103,5170,3900,496,751,241,555
"Hombres (004)",9388,1432,52,3555,2971,340,492,176,370
"Mujeres (005)",4258,998,51,1615,929,156,259,65,185
"Ocupada (006)",12955,2311,97,4886,3671,470,742,236,542
"Hombres (007)",8875,1354,47,3345,2787,318,486,173,365
"Mujeres (008)",4080,957,50,1541,884,152,256,63,177
"Desocupada (009)",691,119,6,284,229,26,9,5,13
"Hombres (010)",513,78,5,210,184,22,6,3,5
"Mujeres (011)",178,41,1,74,45,4,3,2,8
"No PEA (012)",21163,3264,415,12177,4712,258,118,102,117
"Hombres (013)",9021,1032,195,5335,2157,129,52,56,65
"Mujeres (014)",12142,2232,220,6842,2555,129,66,46,52
,,,,,,,,,
"URBANA (018)",12913,529,192,4825,5230,617,693,293,534
"Hombres (019)",6847,192,87,2337,2932,367,408,195,329
"Mujeres (020)",6066,337,105,2488,2298,250,285,98,205
"PEA (021)",5664,184,21,1269,2535,401,594,202,458
"Hombres (022)",3807,84,13,798,1833,266,372,145,296
"Mujeres (023)",1857,100,8,471,702,135,222,57,162
"Ocupada (024)",5393,173,15,1189,2407,381,586,197,445
"Hombres (025)",3603,79,8,731,1736,249,367,142,291
"Mujeres (026)",1790,94,7,458,671,132,219,55,154
"Desocupada (027)",271,11,6,80,128,20,8,5,13
"Hombres (028)",204,5,5,67,97,17,5,3,5
"Mujeres (029)",67,6,1,13,31,3,3,2,8
"No PEA (030)",7249,345,171,3556,2695,216,99,91,76
"Hombres (031)",3040,108,74,1539,1099,101,36,50,33
"Mujeres (032)",4209,237,97,2017,1596,115,63,41,43
,,,,,,,,,
"RURAL (036)",21896,5165,326,12522,3382,137,176,50,138
"Hombres (037)",11562,2272,160,6553,2196,102,136,37,106
"Mujeres (038)",10334,2893,166,5969,1186,35,40,13,32
"PEA (039)",7982,2246,82,3901,1365,95,157,39,97
"Hombres (040)",5581,1348,39,2757,1138,74,120,31,74
"Mujeres (041)",2401,898,43,1144,227,21,37,8,23
"Ocupada (042)",7562,2138,82,3697,1264,89,156,39,97
"Hombres (043)",5272,1275,39,2614,1051,69,119,31,74
"Mujeres (044)",2290,863,43,1083,213,20,37,8,23
"Desocupada (045)",420,108,,204,101,6,1,,
"Hombres (046)",309,73,,143,87,5,1,,
"Mujeres (047)",111,35,,61,14,1,,,
"No PEA (048)",13914,2919,244,8621,2017,42,19,11,41
"Hombres (049)",5981,924,121,3796,1058,28,16,6,32
"Mujeres (050)",7933,1995,123,4825,959,14,3,5,9
