"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia ANTONIO RAYMONDI",,,,,,,,,
"Viviendas particulares (001)",2722,243,134,99,232,40,31,15,1928
"Ocupantes presentes (002)",11794,972,587,441,965,172,126,53,8478
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2717,241,134,98,232,40,31,15,1926
"Ocupantes presentes (005)",11776,965,587,440,965,172,126,53,8468
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",4,2,,1,,,,,1
"Ocupantes presentes (014)",13,7,,1,,,,,5
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",1,,,,,,,,1
"Ocupantes presentes (023)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",826,134,84,64,86,26,29,5,398
"Ocupantes presentes (029)",3320,518,337,298,331,110,117,16,1593
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",821,132,84,63,86,26,29,5,396
"Ocupantes presentes (032)",3302,511,337,297,331,110,117,16,1583
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",4,2,,1,,,,,1
"Ocupantes presentes (041)",13,7,,1,,,,,5
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",1,,,,,,,,1
"Ocupantes presentes (050)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1896,109,50,35,146,14,2,10,1530
"Ocupantes presentes (056)",8474,454,250,143,634,62,9,37,6885
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1896,109,50,35,146,14,2,10,1530
"Ocupantes presentes (059)",8474,454,250,143,634,62,9,37,6885
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
