"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",6115,4430,649,368,668
"Empleado (001)",1454,501,215,259,479
"Obrero (002)",1595,1067,251,94,183
"Trabajador independiente (003)",2434,2290,144,,
"Empleador o patrono (004)",174,147,17,6,4
"Trabajador familiar no remunerado (005)",343,310,22,9,2
"Trabajador del hogar (006)",115,115,,,
"De 06 a 14 años (008)",82,71,5,2,4
"Empleado (009)",10,7,1,2,
"Obrero (010)",13,10,1,,2
"Trabajador independiente (011)",30,28,2,,
"Empleador o patrono (012)",1,,,,1
"Trabajador familiar no remunerado (013)",23,21,1,,1
"Trabajador del hogar (014)",5,5,,,
"De 15 a 29 años (016)",2059,1472,274,102,211
"Empleado (017)",491,202,91,63,135
"Obrero (018)",632,406,119,32,75
"Trabajador independiente (019)",705,656,49,,
"Empleador o patrono (020)",42,36,4,1,1
"Trabajador familiar no remunerado (021)",141,124,11,6,
"Trabajador del hogar (022)",48,48,,,
"De 30 a 44 años (024)",2161,1482,242,168,269
"Empleado (025)",573,160,75,132,206
"Obrero (026)",557,372,92,32,61
"Trabajador independiente (027)",845,784,61,,
"Empleador o patrono (028)",54,43,7,2,2
"Trabajador familiar no remunerado (029)",93,84,7,2,
"Trabajador del hogar (030)",39,39,,,
"De 45 a 64 años (032)",1525,1150,121,88,166
"Empleado (033)",352,119,45,59,129
"Obrero (034)",339,241,36,25,37
"Trabajador independiente (035)",696,665,31,,
"Empleador o patrono (036)",55,46,6,3,
"Trabajador familiar no remunerado (037)",65,61,3,1,
"Trabajador del hogar (038)",18,18,,,
"De 65 y más años (040)",288,255,7,8,18
"Empleado (041)",28,13,3,3,9
"Obrero (042)",54,38,3,5,8
"Trabajador independiente (043)",158,157,1,,
"Empleador o patrono (044)",22,22,,,
"Trabajador familiar no remunerado (045)",21,20,,,1
"Trabajador del hogar (046)",5,5,,,
,,,,,
"URBANA (048)",4857,3351,576,338,592
"Empleado (049)",1226,384,185,242,415
"Obrero (050)",1216,742,221,82,171
"Trabajador independiente (051)",1939,1804,135,,
"Empleador o patrono (052)",125,100,15,6,4
"Trabajador familiar no remunerado (053)",259,229,20,8,2
"Trabajador del hogar (054)",92,92,,,
