"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia URUBAMBA (000)",53426,894,17246,13674,10231,7622,3759
"Casa independiente (001)",51901,861,16827,13151,9879,7462,3721
"Departamento en edificio (002)",251,2,70,90,50,35,4
"Vivienda en quinta (003)",236,8,69,68,60,23,8
"Vivienda en casa de vecindad (004)",910,18,239,338,216,82,17
"Choza o cabaña (005)",43,2,10,8,6,9,8
"Vivienda improvisada (006)",23,1,10,4,5,3,
"Local no destinado para hab.humana (007)",20,,7,4,7,2,
"Otro tipo (008)",42,2,14,11,8,6,1
,,,,,,,
"URBANA (009)",24553,372,7341,6797,4928,3450,1665
"Casa independiente (010)",23084,341,6937,6285,4585,3301,1635
"Departamento en edificio (011)",251,2,70,90,50,35,4
"Vivienda en quinta (012)",236,8,69,68,60,23,8
"Vivienda en casa de vecindad (013)",910,18,239,338,216,82,17
"Vivienda improvisada (015)",23,1,10,4,5,3,
"Local no destinado para hab.humana (016)",19,,7,4,7,1,
"Otro tipo (017)",30,2,9,8,5,5,1
,,,,,,,
"RURAL (018)",28873,522,9905,6877,5303,4172,2094
"Casa independiente (019)",28817,520,9890,6866,5294,4161,2086
"Choza o cabaña (023)",43,2,10,8,6,9,8
"Local no destinado para hab.humana (025)",1,,,,,1,
"Otro tipo (026)",12,,5,3,3,1,
