"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia REQUENA (000)",22044,2653,2738,10847,396,3989,590,831
"Agric., ganadería, caza y silvicultura (001)",12496,12,1372,7715,268,3129,,
"Pesca (002)",1219,1,488,235,,495,,
"Explotación de minas y canteras (003)",7,2,5,,,,,
"Industrias manufactureras (004)",545,17,180,309,26,13,,
"Suministro de electricidad, gas y agua (005)",30,10,9,9,,2,,
"Construcción (006)",288,6,213,63,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1906,155,32,1415,59,245,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",80,3,8,61,3,5,,
"Comercio al por mayor (009)",73,5,2,49,7,10,,
"Comercio al por menor (010)",1753,147,22,1305,49,230,,
"Hoteles y restaurantes (011)",498,81,43,328,9,37,,
"Trans., almac. y comunicaciones (012)",525,70,124,306,14,11,,
"Intermediación financiera (013)",12,9,,3,,,,
"Activid.inmobil., empres. y alquileres (014)",149,114,12,21,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",448,396,52,,,,,
"Enseñanza (016)",1491,1427,1,56,1,6,,
"Servicios sociales y de salud (017)",129,115,2,12,,,,
"Otras activ. serv.comun.soc y personales (018)",203,82,32,83,2,4,,
"Hogares privados con servicio doméstico (019)",590,,,,,,590,
"Actividad economica no especificada (021)",677,156,173,292,9,47,,
"Desocupado (022)",831,,,,,,,831
"Hombres (023)",15473,1624,2272,8551,323,2035,62,606
"Agric., ganadería, caza y silvicultura (024)",9480,10,1069,6733,235,1433,,
"Pesca (025)",1161,1,464,230,,466,,
"Explotación de minas y canteras (026)",7,2,5,,,,,
"Industrias manufactureras (027)",432,13,173,220,19,7,,
"Suministro de electricidad, gas y agua (028)",29,10,9,9,,1,,
"Construcción (029)",283,6,209,62,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",995,100,31,743,40,81,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",74,3,8,57,2,4,,
"Comercio al por mayor (032)",53,5,2,37,5,4,,
"Comercio al por menor (033)",868,92,21,649,33,73,,
"Hoteles y restaurantes (034)",92,23,7,52,1,9,,
"Trans., almac. y comunicaciones (035)",506,67,119,298,13,9,,
"Intermediación financiera (036)",9,8,,1,,,,
"Activid.inmobil., empres. y alquileres (037)",112,84,8,18,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",355,318,37,,,,,
"Enseñanza (039)",805,779,1,22,1,2,,
"Servicios sociales y de salud (040)",77,66,2,9,,,,
"Otras activ. serv.comun.soc y personales (041)",109,58,12,35,1,3,,
"Hogares privados con servicio doméstico (042)",62,,,,,,62,
"Actividad economica no especificada (044)",353,79,126,119,5,24,,
"Desocupado (045)",606,,,,,,,606
"Mujeres (046)",6571,1029,466,2296,73,1954,528,225
"Agric., ganadería, caza y silvicultura (047)",3016,2,303,982,33,1696,,
"Pesca (048)",58,,24,5,,29,,
"Industrias manufactureras (050)",113,4,7,89,7,6,,
"Suministro de electricidad, gas y agua (051)",1,,,,,1,,
"Construcción (052)",5,,4,1,,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",911,55,1,672,19,164,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",6,,,4,1,1,,
"Comercio al por mayor (055)",20,,,12,2,6,,
"Comercio al por menor (056)",885,55,1,656,16,157,,
"Hoteles y restaurantes (057)",406,58,36,276,8,28,,
"Trans., almac. y comunicaciones (058)",19,3,5,8,1,2,,
"Intermediación financiera (059)",3,1,,2,,,,
"Activid.inmobil., empres. y alquileres (060)",37,30,4,3,,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",93,78,15,,,,,
"Enseñanza (062)",686,648,,34,,4,,
"Servicios sociales y de salud (063)",52,49,,3,,,,
"Otras activ. serv.comun.soc y personales (064)",94,24,20,48,1,1,,
"Hogares privados con servicio doméstico (065)",528,,,,,,528,
"Actividad economica no especificada (067)",324,77,47,173,4,23,,
"Desocupado (068)",225,,,,,,,225
,,,,,,,,
"URBANA (069)",12525,2267,1773,5645,233,1592,416,599
"Agric., ganadería, caza y silvicultura (070)",5003,12,686,3085,119,1101,,
"Pesca (071)",633,1,339,117,,176,,
"Explotación de minas y canteras (072)",2,1,1,,,,,
"Industrias manufactureras (073)",474,16,153,271,23,11,,
"Suministro de electricidad, gas y agua (074)",30,10,9,9,,2,,
"Construcción (075)",250,5,184,55,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",1636,152,28,1199,49,208,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",73,3,8,54,3,5,,
"Comercio al por mayor (078)",57,4,2,38,5,8,,
"Comercio al por menor (079)",1506,145,18,1107,41,195,,
"Hoteles y restaurantes (080)",450,79,13,316,8,34,,
"Trans., almac. y comunicaciones (081)",497,67,116,289,14,11,,
"Intermediación financiera (082)",12,9,,3,,,,
"Activid.inmobil., empres. y alquileres (083)",146,113,11,20,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",425,379,46,,,,,
"Enseñanza (085)",1160,1106,1,48,1,4,,
"Servicios sociales y de salud (086)",112,102,2,8,,,,
"Otras activ. serv.comun.soc y personales (087)",187,73,29,79,2,4,,
"Hogares privados con servicio doméstico (088)",416,,,,,,416,
"Actividad economica no especificada (090)",493,142,155,146,9,41,,
"Desocupado (091)",599,,,,,,,599
"Hombres (092)",8393,1365,1510,4060,175,812,39,432
"Agric., ganadería, caza y silvicultura (093)",3812,10,539,2635,99,529,,
"Pesca (094)",597,1,319,114,,163,,
"Explotación de minas y canteras (095)",2,1,1,,,,,
"Industrias manufactureras (096)",370,12,148,188,16,6,,
"Suministro de electricidad, gas y agua (097)",29,10,9,9,,1,,
"Construcción (098)",247,5,182,54,6,,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",810,97,27,587,32,67,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",67,3,8,50,2,4,,
"Comercio al por mayor (101)",40,4,2,27,3,4,,
"Comercio al por menor (102)",703,90,17,510,27,59,,
"Hoteles y restaurantes (103)",87,22,6,51,,8,,
"Trans., almac. y comunicaciones (104)",479,65,111,281,13,9,,
"Intermediación financiera (105)",9,8,,1,,,,
"Activid.inmobil., empres. y alquileres (106)",109,83,7,17,2,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",337,305,32,,,,,
"Enseñanza (108)",586,566,1,16,1,2,,
"Servicios sociales y de salud (109)",67,59,2,6,,,,
"Otras activ. serv.comun.soc y personales (110)",97,50,10,33,1,3,,
"Hogares privados con servicio doméstico (111)",39,,,,,,39,
"Actividad economica no especificada (113)",284,71,116,68,5,24,,
"Desocupado (114)",432,,,,,,,432
"Mujeres (115)",4132,902,263,1585,58,780,377,167
"Agric., ganadería, caza y silvicultura (116)",1191,2,147,450,20,572,,
"Pesca (117)",36,,20,3,,13,,
