"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ATALAYA (000)",39291,3195,12317,8492,5888,4386,2741,1396,876
"Quechua (001)",667,4,37,70,107,169,140,77,63
"Aymara (002)",65,15,22,8,7,11,,2,
"Ashaninca (003)",14529,1341,4781,3339,1993,1476,887,480,232
"Otra lengua nativa (004)",4689,334,1440,965,690,588,360,203,109
"Castellano (005)",19286,1497,6030,4092,3086,2133,1345,632,471
"Idioma extranjero (006)",20,1,1,4,1,4,6,2,1
"Es sordomudo/a (007)",35,3,6,14,4,5,3,,
"Hombres (009)",20630,1543,6482,4192,3051,2432,1605,808,517
"Quechua (010)",401,3,18,41,67,106,84,43,39
"Aymara (011)",36,14,10,2,2,6,,2,
"Ashaninca (012)",7384,640,2540,1615,968,769,479,257,116
"Otra lengua nativa (013)",2384,141,797,454,341,304,185,98,64
"Castellano (014)",10402,743,3114,2073,1671,1241,855,408,297
"Idioma extranjero (015)",8,,,2,1,3,1,,1
"Es sordomudo/a (016)",15,2,3,5,1,3,1,,
"Mujeres (018)",18661,1652,5835,4300,2837,1954,1136,588,359
"Quechua (019)",266,1,19,29,40,63,56,34,24
"Aymara (020)",29,1,12,6,5,5,,,
"Ashaninca (021)",7145,701,2241,1724,1025,707,408,223,116
"Otra lengua nativa (022)",2305,193,643,511,349,284,175,105,45
"Castellano (023)",8884,754,2916,2019,1415,892,490,224,174
"Idioma extranjero (024)",12,1,1,2,,1,5,2,
"Es sordomudo/a (025)",20,1,3,9,3,2,2,,
,,,,,,,,,
"URBANA (027)",14111,854,3835,3092,2440,1813,1143,543,391
"Quechua (028)",490,2,18,41,84,132,108,59,46
"Aymara (029)",20,2,5,1,4,7,,1,
"Ashaninca (030)",548,12,114,154,114,83,39,24,8
"Otra lengua nativa (031)",801,28,140,199,127,144,87,45,31
"Castellano (032)",12224,810,3554,2687,2109,1441,904,413,306
"Idioma extranjero (033)",10,,,2,,3,4,1,
"Es sordomudo/a (034)",18,,4,8,2,3,1,,
"Hombres (036)",7440,424,1975,1557,1241,991,687,334,231
"Quechua (037)",291,1,9,23,52,81,64,32,29
"Aymara (038)",9,1,1,1,1,4,,1,
"Ashaninca (039)",261,5,65,70,51,40,15,13,2
"Otra lengua nativa (040)",375,16,77,86,51,65,48,19,13
"Castellano (041)",6489,401,1821,1372,1085,796,558,269,187
"Idioma extranjero (042)",5,,,1,,3,1,,
"Es sordomudo/a (043)",10,,2,4,1,2,1,,
"Mujeres (045)",6671,430,1860,1535,1199,822,456,209,160
"Quechua (046)",199,1,9,18,32,51,44,27,17
"Aymara (047)",11,1,4,,3,3,,,
"Ashaninca (048)",287,7,49,84,63,43,24,11,6
"Otra lengua nativa (049)",426,12,63,113,76,79,39,26,18
"Castellano (050)",5735,409,1733,1315,1024,645,346,144,119
"Idioma extranjero (051)",5,,,1,,,3,1,
"Es sordomudo/a (052)",8,,2,4,1,1,,,
,,,,,,,,,
"RURAL (054)",25180,2341,8482,5400,3448,2573,1598,853,485
"Quechua (055)",177,2,19,29,23,37,32,18,17
"Aymara (056)",45,13,17,7,3,4,,1,
"Ashaninca (057)",13981,1329,4667,3185,1879,1393,848,456,224
"Otra lengua nativa (058)",3888,306,1300,766,563,444,273,158,78
"Castellano (059)",7062,687,2476,1405,977,692,441,219,165
"Idioma extranjero (060)",10,1,1,2,1,1,2,1,1
"Es sordomudo/a (061)",17,3,2,6,2,2,2,,
"Hombres (063)",13190,1119,4507,2635,1810,1441,918,474,286
"Quechua (064)",110,2,9,18,15,25,20,11,10
"Aymara (065)",27,13,9,1,1,2,,1,
"Ashaninca (066)",7123,635,2475,1545,917,729,464,244,114
"Otra lengua nativa (067)",2009,125,720,368,290,239,137,79,51
"Castellano (068)",3913,342,1293,701,586,445,297,139,110
"Idioma extranjero (069)",3,,,1,1,,,,1
"Es sordomudo/a (070)",5,2,1,1,,1,,,
"Mujeres (072)",11990,1222,3975,2765,1638,1132,680,379,199
"Quechua (073)",67,,10,11,8,12,12,7,7
"Aymara (074)",18,,8,6,2,2,,,
"Ashaninca (075)",6858,694,2192,1640,962,664,384,212,110
"Otra lengua nativa (076)",1879,181,580,398,273,205,136,79,27
"Castellano (077)",3149,345,1183,704,391,247,144,80,55
"Idioma extranjero (078)",7,1,1,1,,1,2,1,
"Es sordomudo/a (079)",12,1,1,5,2,1,2,,
