"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia REQUENA (000)",65692,21831,6121,668,37117
"Menos de 1 año (001)",2076,1242,140,14,680
"De 1 a 14 años (002)",25933,13859,2371,201,9520
"De 15 a 29 años (003)",16901,4058,1249,180,11421
"De 30 a 44 años (004)",10775,1609,1304,154,7719
"De 45 a 64 años (005)",7335,818,895,99,5532
"De 65 y mas años (006)",2672,245,162,20,2245
"Hombres (008)",34416,10427,3119,379,20518
"Menos de 1 año (009)",1065,631,70,5,359
"De 1 a 14 años (010)",13298,6993,1234,103,4977
"De 15 a 29 años (011)",8565,1655,563,105,6248
"De 30 a 44 años (012)",5747,606,622,97,4429
"De 45 a 64 años (013)",4160,405,534,58,3168
"De 65 y mas años (014)",1581,137,96,11,1337
"Mujeres (016)",31276,11404,3002,289,16599
"Menos de 1 año (017)",1011,611,70,9,321
"De 1 a 14 años (018)",12635,6866,1137,98,4543
"De 15 a 29 años (019)",8336,2403,686,75,5173
"De 30 a 44 años (020)",5028,1003,682,57,3290
"De 45 a 64 años (021)",3175,413,361,41,2364
"De 65 y mas años (022)",1091,108,66,9,908
,,,,,
"URBANA (024)",37559,11753,5266,565,20018
"Menos de 1 año (025)",1022,635,113,9,265
"De 1 a 14 años (026)",14256,7342,2068,173,4691
"De 15 a 29 años (027)",10083,2383,1060,148,6498
"De 30 a 44 años (028)",6386,848,1097,134,4317
"De 45 a 64 años (029)",4304,407,792,85,3029
"De 65 y mas años (030)",1508,138,136,16,1218
"Hombres (032)",19406,5587,2657,314,10874
"Menos de 1 año (033)",533,340,55,2,136
"De 1 a 14 años (034)",7331,3708,1077,86,2469
"De 15 a 29 años (035)",5052,995,476,88,3498
"De 30 a 44 años (036)",3238,279,502,82,2382
"De 45 a 64 años (037)",2396,192,470,48,1691
"De 65 y mas años (038)",856,73,77,8,698
"Mujeres (040)",18153,6166,2609,251,9144
"Menos de 1 año (041)",489,295,58,7,129
"De 1 a 14 años (042)",6925,3634,991,87,2222
"De 15 a 29 años (043)",5031,1388,584,60,3000
"De 30 a 44 años (044)",3148,569,595,52,1935
"De 45 a 64 años (045)",1908,215,322,37,1338
"De 65 y mas años (046)",652,65,59,8,520
,,,,,
"RURAL (048)",28133,10078,855,103,17099
"Menos de 1 año (049)",1054,607,27,5,415
"De 1 a 14 años (050)",11677,6517,303,28,4829
"De 15 a 29 años (051)",6818,1675,189,32,4923
"De 30 a 44 años (052)",4389,761,207,20,3402
"De 45 a 64 años (053)",3031,411,103,14,2503
"De 65 y mas años (054)",1164,107,26,4,1027
"Hombres (056)",15010,4840,462,65,9644
"Menos de 1 año (057)",532,291,15,3,223
"De 1 a 14 años (058)",5967,3285,157,17,2508
"De 15 a 29 años (059)",3513,660,87,17,2750
"De 30 a 44 años (060)",2509,327,120,15,2047
"De 45 a 64 años (061)",1764,213,64,10,1477
"De 65 y mas años (062)",725,64,19,3,639
"Mujeres (064)",13123,5238,393,38,7455
"Menos de 1 año (065)",522,316,12,2,192
"De 1 a 14 años (066)",5710,3232,146,11,2321
"De 15 a 29 años (067)",3305,1015,102,15,2173
"De 30 a 44 años (068)",1880,434,87,5,1355
"De 45 a 64 años (069)",1267,198,39,4,1026
"De 65 y mas años (070)",439,43,7,1,388
