"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCA SANCOS (000)",9923,5761,916,78,3170
"Quechua (001)",8017,4722,537,45,2714
"Aymara (002)",29,7,4,,18
"Asháninka (003)",1,,1,,
"Castellano (005)",1858,1025,373,33,428
"Es Sordomudo/a (007)",18,7,1,,10
"Hombres (009)",4801,2536,477,66,1723
"Quechua (010)",3808,2023,279,38,1468
"Aymara (011)",13,3,1,,9
"Asháninka (012)",1,,1,,
"Castellano (014)",971,505,195,28,244
"Es Sordomudo/a (016)",8,5,1,,2
"Mujeres (018)",5122,3225,439,12,1447
"Quechua (019)",4209,2699,258,7,1246
"Aymara (020)",16,4,3,,9
"Castellano (023)",887,520,178,5,184
"Es Sordomudo/a (025)",10,2,,,8
,,,,,
"URBANA (027)",6708,3742,789,50,2128
"Quechua (028)",4953,2775,429,25,1724
"Aymara (029)",22,3,3,,16
"Asháninka (030)",1,,1,,
"Castellano (032)",1718,958,355,25,381
"Es Sordomudo/a (034)",14,6,1,,7
"Hombres (036)",3249,1644,404,40,1162
"Quechua (037)",2338,1163,218,20,937
"Aymara (038)",9,,1,,8
"Asháninka (039)",1,,1,,
"Castellano (041)",893,476,183,20,215
"Es Sordomudo/a (043)",8,5,1,,2
"Mujeres (045)",3459,2098,385,10,966
"Quechua (046)",2615,1612,211,5,787
"Aymara (047)",13,3,2,,8
"Castellano (050)",825,482,172,5,166
"Es Sordomudo/a (052)",6,1,,,5
,,,,,
"RURAL (054)",3215,2019,127,28,1042
"Quechua (055)",3064,1947,108,20,990
"Aymara (056)",7,4,1,,2
"Castellano (059)",140,67,18,8,47
"Es Sordomudo/a (061)",4,1,,,3
"Hombres (063)",1552,892,73,26,561
"Quechua (064)",1470,860,61,18,531
"Aymara (065)",4,3,,,1
"Castellano (068)",78,29,12,8,29
"Mujeres (072)",1663,1127,54,2,481
"Quechua (073)",1594,1087,47,2,459
"Aymara (074)",3,1,1,,1
"Castellano (077)",62,38,6,,18
"Es Sordomudo/a (079)",4,1,,,3
