"CUADRO Nº 9: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACION",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia DATEM DEL MARAÑON (000)",15850,1137,6570,4906,2777,460
"Empleado (001)",1374,15,467,673,216,3
"Obrero (002)",1609,104,811,437,221,36
"Trabajador independiente (003)",7771,13,2801,2743,1851,363
"Empleador o patrono (004)",103,,40,34,27,2
"Trabajador familiar no remunerado (005)",4794,982,2320,994,445,53
"Trabajador del hogar (006)",199,23,131,25,17,3
"Hombres (008)",9754,576,3765,3182,1900,331
"Empleado (009)",966,7,281,488,189,1
"Obrero (010)",1150,66,579,316,160,29
"Trabajador independiente (011)",5869,6,1984,2154,1445,280
"Empleador o patrono (012)",67,,21,22,23,1
"Trabajador familiar no remunerado (013)",1682,495,884,201,82,20
"Trabajador del hogar (014)",20,2,16,1,1,
"Mujeres (016)",6096,561,2805,1724,877,129
"Empleado (017)",408,8,186,185,27,2
"Obrero (018)",459,38,232,121,61,7
"Trabajador independiente (019)",1902,7,817,589,406,83
"Empleador o patrono (020)",36,,19,12,4,1
"Trabajador familiar no remunerado (021)",3112,487,1436,793,363,33
"Trabajador del hogar (022)",179,21,115,24,16,3
,,,,,,
"URBANA (024)",4116,188,1547,1426,833,122
"Empleado (025)",788,15,274,373,123,3
"Obrero (026)",569,23,291,170,75,10
"Trabajador independiente (027)",1902,10,575,703,519,95
"Empleador o patrono (028)",60,,18,26,16,
"Trabajador familiar no remunerado (029)",649,124,289,133,91,12
"Trabajador del hogar (030)",148,16,100,21,9,2
"Hombres (032)",2632,101,950,913,572,96
"Empleado (033)",500,7,154,239,99,1
"Obrero (034)",478,19,246,141,63,9
"Trabajador independiente (035)",1331,6,375,490,378,82
"Empleador o patrono (036)",45,,13,18,14,
"Trabajador familiar no remunerado (037)",262,68,147,25,18,4
"Trabajador del hogar (038)",16,1,15,,,
"Mujeres (040)",1484,87,597,513,261,26
"Empleado (041)",288,8,120,134,24,2
"Obrero (042)",91,4,45,29,12,1
"Trabajador independiente (043)",571,4,200,213,141,13
"Empleador o patrono (044)",15,,5,8,2,
"Trabajador familiar no remunerado (045)",387,56,142,108,73,8
"Trabajador del hogar (046)",132,15,85,21,9,2
,,,,,,
"RURAL (048)",11734,949,5023,3480,1944,338
"Empleado (049)",586,,193,300,93,
"Obrero (050)",1040,81,520,267,146,26
"Trabajador independiente (051)",5869,3,2226,2040,1332,268
"Empleador o patrono (052)",43,,22,8,11,2
"Trabajador familiar no remunerado (053)",4145,858,2031,861,354,41
"Trabajador del hogar (054)",51,7,31,4,8,1
"Hombres (056)",7122,475,2815,2269,1328,235
"Empleado (057)",466,,127,249,90,
"Obrero (058)",672,47,333,175,97,20
"Trabajador independiente (059)",4538,,1609,1664,1067,198
"Empleador o patrono (060)",22,,8,4,9,1
"Trabajador familiar no remunerado (061)",1420,427,737,176,64,16
"Trabajador del hogar (062)",4,1,1,1,1,
"Mujeres (064)",4612,474,2208,1211,616,103
"Empleado (065)",120,,66,51,3,
"Obrero (066)",368,34,187,92,49,6
"Trabajador independiente (067)",1331,3,617,376,265,70
"Empleador o patrono (068)",21,,14,4,2,1
"Trabajador familiar no remunerado (069)",2725,431,1294,685,290,25
"Trabajador del hogar (070)",47,6,30,3,7,1
