"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia YUNGAY",,,,,,,,
"Hogares (001)",13024,9203,3588,1042,146,870,427,3318
"Ocupantes presentes (002)",54181,40006,15605,4602,620,3724,1915,12050
"Casa independiente",,,,,,,,
"Hogares (004)",12862,9086,3541,1029,145,857,425,3284
"Ocupantes presentes (005)",53577,39553,15445,4554,618,3684,1906,11940
"Departamento en edificio",,,,,,,,
"Hogares (007)",10,5,8,5,,4,2,1
"Ocupantes presentes (008)",36,19,26,20,,16,9,6
"Vivienda en quinta",,,,,,,,
"Hogares (010)",27,21,21,5,,6,,2
"Ocupantes presentes (011)",87,65,65,11,,14,,5
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",15,10,7,1,1,2,,3
"Ocupantes presentes (014)",50,33,22,6,2,5,,8
"Choza o cabaña",,,,,,,,
"Hogares (016)",105,77,10,2,,1,,27
"Ocupantes presentes (017)",420,326,43,11,,5,,90
"Vivienda improvisada",,,,,,,,
"Hogares (019)",3,2,1,,,,,1
"Ocupantes presentes (020)",9,8,4,,,,,1
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",2,2,,,,,,
"Ocupantes presentes (023)",2,2,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",3127,2445,1905,756,131,728,356,390
"Ocupantes presentes (029)",12560,10131,8014,3297,563,3084,1593,1271
"Casa independiente",,,,,,,,
"Hogares (031)",3072,2407,1868,745,130,716,354,383
"Ocupantes presentes (032)",12378,10006,7897,3260,561,3049,1584,1251
"Departamento en edificio",,,,,,,,
"Hogares (034)",10,5,8,5,,4,2,1
"Ocupantes presentes (035)",36,19,26,20,,16,9,6
"Vivienda en quinta",,,,,,,,
"Hogares (037)",27,21,21,5,,6,,2
"Ocupantes presentes (038)",87,65,65,11,,14,,5
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",15,10,7,1,1,2,,3
"Ocupantes presentes (041)",50,33,22,6,2,5,,8
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",3,2,1,,,,,1
"Ocupantes presentes (047)",9,8,4,,,,,1
"Local no dest.para hab. humana",,,,,,,,
"Otro tipo",,,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",9897,6758,1683,286,15,142,71,2928
"Ocupantes presentes (056)",41621,29875,7591,1305,57,640,322,10779
"Casa independiente",,,,,,,,
"Hogares (058)",9790,6679,1673,284,15,141,71,2901
"Ocupantes presentes (059)",41199,29547,7548,1294,57,635,322,10689
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",105,77,10,2,,1,,27
"Ocupantes presentes (071)",420,326,43,11,,5,,90
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",2,2,,,,,,
"Ocupantes presentes (077)",2,2,,,,,,
"Otro tipo",,,,,,,,
