"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YAULI (000)",12579,97,4153,4527,1519,516,179,68,8,,1512
"Sin Nivel (001)",979,19,380,313,80,51,20,16,2,,98
"Educación Inicial (002)",9,,3,,1,,,,,,5
"Primaria (003)",3261,39,1365,1102,289,79,56,27,2,,302
"Secundaria (004)",4849,32,1814,1829,458,147,43,13,1,,512
"Sup. no Univ. Incompleta (005)",923,,228,381,108,38,7,3,2,,156
"Sup. no Univ. Completa (006)",1181,2,177,434,261,85,28,2,,,192
"Sup. Univ. Incompleta (007)",369,2,72,142,60,18,3,1,1,,70
"Sup. Univ. Completa (008)",1008,3,114,326,262,98,22,6,,,177
,,,,,,,,,,,
"URBANA (010)",11220,82,3640,4069,1373,478,166,65,8,,1339
"Sin Nivel (011)",765,12,293,251,58,37,16,14,2,,82
"Educación Inicial (012)",8,,3,,1,,,,,,4
"Primaria (013)",2618,33,1090,883,219,70,50,26,2,,245
"Secundaria (014)",4452,30,1681,1687,416,135,40,13,1,,449
"Sup. no Univ. Incompleta (015)",880,,218,367,105,35,7,3,2,,143
"Sup. no Univ. Completa (016)",1149,2,173,423,255,85,28,2,,,181
"Sup. Univ. Incompleta (017)",362,2,71,139,60,18,3,1,1,,67
"Sup. Univ. Completa (018)",986,3,111,319,259,98,22,6,,,168
,,,,,,,,,,,
"RURAL (020)",1359,15,513,458,146,38,13,3,,,173
"Sin Nivel (021)",214,7,87,62,22,14,4,2,,,16
"Educación Inicial (022)",1,,,,,,,,,,1
"Primaria (023)",643,6,275,219,70,9,6,1,,,57
"Secundaria (024)",397,2,133,142,42,12,3,,,,63
"Sup. no Univ. Incompleta (025)",43,,10,14,3,3,,,,,13
"Sup. no Univ. Completa (026)",32,,4,11,6,,,,,,11
"Sup. Univ. Incompleta (027)",7,,1,3,,,,,,,3
"Sup. Univ. Completa (028)",22,,3,7,3,,,,,,9
