"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia PAITA (000)",49498,7632,13173,12083,16610
"Asiste actualmente (001)",30883,4617,12619,9822,3825
"No asiste (002)",18615,3015,554,2261,12785
"Hombres (004)",24971,3873,6661,6107,8330
"Asiste actualmente (005)",15529,2279,6383,4962,1905
"No asiste (006)",9442,1594,278,1145,6425
"Mujeres (008)",24527,3759,6512,5976,8280
"Asiste actualmente (009)",15354,2338,6236,4860,1920
"No asiste (010)",9173,1421,276,1116,6360
,,,,,
"URBANA (012)",47271,7307,12581,11511,15872
"Asiste actualmente (013)",29559,4394,12060,9402,3703
"No asiste (014)",17712,2913,521,2109,12169
"Hombres (016)",23828,3719,6345,5806,7958
"Asiste actualmente (017)",14853,2180,6086,4746,1841
"No asiste (018)",8975,1539,259,1060,6117
"Mujeres (020)",23443,3588,6236,5705,7914
"Asiste actualmente (021)",14706,2214,5974,4656,1862
"No asiste (022)",8737,1374,262,1049,6052
,,,,,
"RURAL (024)",2227,325,592,572,738
"Asiste actualmente (025)",1324,223,559,420,122
"No asiste (026)",903,102,33,152,616
"Hombres (028)",1143,154,316,301,372
"Asiste actualmente (029)",676,99,297,216,64
"No asiste (030)",467,55,19,85,308
"Mujeres (032)",1084,171,276,271,366
"Asiste actualmente (033)",648,124,262,204,58
"No asiste (034)",436,47,14,67,308
