"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LIMA (000)",6101271,666742,1212640,1369588,1063696,774900,1013705
"Católica (001)",5053467,543796,976218,1127012,888957,652505,864979
"Cristiana/Evangélica (002)",664957,82037,137945,147650,115199,83345,98781
"Otra (003)",192050,20346,39429,42943,32114,23946,33272
"Ninguna (004)",190797,20563,59048,51983,27426,15104,16673
"Hombres (006)",2944954,331885,595663,665362,509256,365025,477763
"Católica (007)",2430872,271159,475270,542369,424266,308682,409126
"Cristiana/Evangélica (008)",301402,39289,64514,68072,51619,35719,42189
"Otra (009)",90529,10002,19422,21063,15043,10369,14630
"Ninguna (010)",122151,11435,36457,33858,18328,10255,11818
"Mujeres (012)",3156317,334857,616977,704226,554440,409875,535942
"Católica (013)",2622595,272637,500948,584643,464691,343823,455853
"Cristiana/Evangélica (014)",363555,42748,73431,79578,63580,47626,56592
"Otra (015)",101521,10344,20007,21880,17071,13577,18642
"Ninguna (016)",68646,9128,22591,18125,9098,4849,4855
,,,,,,,
"URBANA (018)",6093906,665741,1211123,1367919,1062433,774136,1012554
"Católica (019)",5047351,542965,974950,1125612,887909,651861,864054
"Cristiana/Evangélica (020)",664030,81906,137762,147466,115039,83251,98606
"Otra (021)",191911,20330,39409,42910,32090,23932,33240
"Ninguna (022)",190614,20540,59002,51931,27395,15092,16654
"Hombres (024)",2941014,331381,594854,664470,508557,364623,477129
"Católica (025)",2427536,270726,474584,541608,423676,308335,408607
"Cristiana/Evangélica (026)",300992,39239,64438,67987,51543,35681,42104
"Otra (027)",90450,9990,19409,21047,15031,10360,14613
"Ninguna (028)",122036,11426,36423,33828,18307,10247,11805
"Mujeres (030)",3152892,334360,616269,703449,553876,409513,535425
"Católica (031)",2619815,272239,500366,584004,464233,343526,455447
"Cristiana/Evangélica (032)",363038,42667,73324,79479,63496,47570,56502
"Otra (033)",101461,10340,20000,21863,17059,13572,18627
"Ninguna (034)",68578,9114,22579,18103,9088,4845,4849
,,,,,,,
"RURAL (036)",7365,1001,1517,1669,1263,764,1151
"Católica (037)",6116,831,1268,1400,1048,644,925
"Cristiana/Evangélica (038)",927,131,183,184,160,94,175
"Otra (039)",139,16,20,33,24,14,32
"Ninguna (040)",183,23,46,52,31,12,19
"Hombres (042)",3940,504,809,892,699,402,634
"Católica (043)",3336,433,686,761,590,347,519
"Cristiana/Evangélica (044)",410,50,76,85,76,38,85
"Otra (045)",79,12,13,16,12,9,17
"Ninguna (046)",115,9,34,30,21,8,13
"Mujeres (048)",3425,497,708,777,564,362,517
"Católica (049)",2780,398,582,639,458,297,406
"Cristiana/Evangélica (050)",517,81,107,99,84,56,90
"Otra (051)",60,4,7,17,12,5,15
"Ninguna (052)",68,14,12,22,10,4,6
